source	target
RPS28	FLJ11292
RPS28	ANKRD27
RPS28	GPR89A
LPP	ENO2
LPP	GRAMD3
FLJ36848	CCDC71
FLJ36848	TRIM3
FLJ36848	ZNF586
HNRNPAB	SLC35B1
HNRNPAB	RRS1
HNRNPAB	HSPA8
HNRNPAB	MGC40489
SPP1	MELK
ZFPM1	GLS
SKIV2L2	TTLL1
KDELC2	BOAT
LOC649150	TFCP2
LOC649150	MEG8
EPS8	QARS
EPS8	TRAK2
EPS8	LOC400506
EPS8	HSPA1A
EPS8	FAM76A
EPS8	UBLCP1
EPS8	C4orf46
EPS8	B2M
EPS8	FBXO30
TGOLN2	ZNF358
TGOLN2	KATNB1
TGOLN2	KCTD11
TGOLN2	CIAO1
TGOLN2	USP16
MAP3K11	TRIM56
MAP3K11	EPHB4
SLC38A2	FAM174A
SLC38A2	EPB41L4A
SLC38A2	XLKD1
SLC38A2	DNAJC10
GALNT11	HCG18
GALNT11	GPR161
GALNT11	SNN
GALNT11	LOC652668
GALNT11	PHF20
GALNT11	KIAA1715
GALNT11	MAPKSP1
GALNT11	PTTG1IP
BASP1	CYSLTR1
BASP1	ANPEP
BASP1	USP6NL
RPS16	LOC729903
MGP	ABI2
GNG10	UNC50
GNG10	CKAP5
GNG10	HSPE1
GNG10	PAPSS1
GNG10	VKORC1
CSNK1G3	LOC644334
CSNK1G3	HNRNPH1
KCNMB1	MMRN1
KCNMB1	SHRM
KCNMB1	LOC387882
KCNMB1	KCNMA1
LOC653658	DDX17
ELF4	MICB
ELF4	STK4
ELF4	B9D2
MPHOSPH10	LOC100133888
MPHOSPH10	ST3GAL1
LMBRD1	TMEM66
LOC642113	IGLL1
COX4I1	ECH1
COX4I1	OXSM
LOC644310	LOC168474
LOC647361	SNORD8
LOC647361	LOC100129902
KIAA0363	SALL2
KIAA0363	ZKSCAN2
PDHX	SGK2
PDHX	ANKRD46
KIAA1324L	MYH10
SUCLG2	GARS
CA1	BPGM
MTHFD2L	MAP3K12
C14orf2	DSE
C14orf2	CMC1
HIC2	UCN
PIK3AP1	GPR65
ATP5J	YDJC
IL10RA	RNASE6
IL10RA	NARG2
LRRC17	TPST1
LRRC17	LOC375295
LRRC17	C5orf13
LRRC17	FNDC5
LRRC17	GLT8D2
LRRC17	FRMD6
CDC5L	SH3RF1
CDC5L	AP4B1
POGZ	GXYLT1
LOC648622	LOC390354
LOC648622	LOC644935
LOC648622	LOC647285
LOC648622	LOC100131471
LOC648622	TTC3L
NUP160	FAM13C1
COL4A1	APLN
COL4A1	TNFRSF19
COL4A1	LY6H
ECH1	ALCAM
ECH1	SLC39A8
ECH1	C19orf52
ECH1	NUDT16L1
ECH1	MRPL53
ECH1	ZDHHC4
ECH1	ACAD8
ECH1	COQ6
ECH1	ETFB
ECH1	IDH3B
ECH1	PRDX2
SH3D19	SSB
SH3D19	FLJ21986
SH3D19	LOC642956
TPM4	ZFHX2
TPM4	CLTA
EFEMP2	UBQLN4
EFEMP2	CCDC102A
C8orf59	PIGV
DNAJB14	LOC648509
DNAJB14	PKN2
DNAJB14	CEP350
DNAJB14	LOC100133923
DNAJB14	MIR30C2
PFKFB4	ARHGDIB
PFKFB4	ALOX5
PFKFB4	SLC7A5
PFKFB4	BMPR1A
DUS1L	SLC35A5
RAXL1	TBL2
RAXL1	SNORD3D
RAXL1	MOCS2
SLC35A3	MARCH6
PHF14	USP48
HES4	C20orf46
HES4	TM4SF1
RPL12	LOC645688
C14orf80	KIAA1683
ATP5D	TUFM
ATP5D	MRPL4
KCTD9	ZNF197
CORO1B	PLOD3
CORO1B	DENND1A
PDPK1	LNPEP
PDPK1	FLJ38482
CHFR	ZZEF1
MRLC2	RPS21
MRLC2	VOPP1
MRLC2	PRDX1
BCL2L1	ZNF512B
BCL2L1	MED25
ZMAT3	CDKN1A
LOC644250	FLJ34047
KHNYN	CYGB
KHNYN	KCTD21
MPHOSPH9	GUF1
LOC347292	ASAH1
LOC347292	COPB2
LOC347292	TARBP1
LOC347292	LOC100130715
LOC347292	LOC728031
LOC347292	LOC728428
LOC347292	ARMCX3
TMEM120A	CDH23
C5orf21	KPNA5
EFNB1	KANK3
CHD1	LGALS3BP
CHD1	TTC1
CHD1	SNORD6
CHD1	C9orf72
TIGA1	ARSB
TIGA1	NCRNA00219
SETD5	TRIM9
HERC6	OAS3
HERC6	CMPK2
HERC6	SAMD9L
CECR5	SLC25A22
CECR5	KIAA1522
CASK	ARSK
RANBP2	S1PR1
LENG8	TMEM60
LENG8	HUWE1
SCAMP2	ANO10
TMED2	RRM2B
ZSCAN18	ZNF540
SERF1B	LOC728492
WDR19	PLD1
WDR19	ZFP2
PI4KAP2	PI4KAP1
PI4KAP2	LOC220686
ZCCHC11	MLL
ZBTB34	CLP1
FAM136A	DUSP23
FAM136A	C2orf42
PSMC6	NCK1
RIOK2	MAP2K1IP1
RIOK2	ZNF567
RIOK2	MAPK14
RIOK2	PRIM1
RIOK2	SIP1
MRPS22	YARS2
CAPNS1	XPNPEP2
CAPNS1	RLF
CAPNS1	EPHB6
CAPNS1	LOC440895
CAPNS1	SNX21
LOC442711	LOC646521
TNFAIP1	TRIB2
TNFAIP1	SPRY1
EIF4B	C2orf79
EIF4B	RBL2
EIF4B	UBE2F
KIAA0427	LPHN1
KIAA0427	NOL3
KLHL18	C14orf169
DSP	TFAP2A
PRKRIR	DSE
PRKRIR	KIAA1430
PRKRIR	LOC644363
METTL3	PIGC
ABHD5	KIAA1239
ABHD5	MAP3K5
LOC642989	SNW1
LOC642989	LOC647074
LOC642989	GMNN
LOC642989	VIL2
LOC642989	LOC646784
LOC642989	LOC100131196
LOC642989	LOC646949
LOC642989	LOC100132199
LOC642989	ANKFY1
LOC642989	NKAP
RPF1	NDRG3
MARCH3	LOC100133609
COPS2	KIAA1377
COPS2	VPS37A
ATP2A2	ATP2B4
ATP2A2	VCL
NUCB2	CEBPB
NUCB2	GDI2
NUCB2	RRAGC
NUCB2	AJAP1
GTF2E1	TM2D2
SAPS2	APOOL
ADCY7	VTRNA1-1
FAM39E	SIX5
FAM39E	FAM39DP
C7orf54	NUP205
STAB1	P2RY6
RGS1	SGK
RGS1	PHLDA1
STAU1	PIGU
STAU1	C9orf10OS
USP9X	PRICKLE2
DEF8	TNFSF10
E2F6	ZNF35
LOC389517	LOC646034
LOC389517	LLPH
LOC389517	CAPS2
METTL7A	EPS8
METTL7A	DYNC1I2
METTL7A	CD164
METTL7A	SEPT11
METTL7A	TUBA3D
METTL7A	ZNF521
METTL7A	LOC100130516
METTL7A	DCAF6
METTL7A	EEF1B2
METTL7A	MBNL2
METTL7A	PPCS
METTL7A	RTN3
LOC388532	TXNDC5
ZMYM3	TPCN1
PES1	CAPS
SEC24D	C3orf41
SEC24D	LOC151579
SEC24D	LOC730063
SEC24D	CPE
SEC24D	LOC283999
ZMPSTE24	ADO
ZMPSTE24	HSPH1
ZMPSTE24	C7orf47
ZMPSTE24	SEC63
C11orf73	LOC644672
C11orf73	RGAG4
CHMP2A	NSMCE1
CHMP2A	SLC2A8
CHMP2A	CRELD2
CHMP2A	HDAC2
CHMP2A	BSCL2
CHMP2A	LRP2BP
CHMP2A	ARIH2
CHMP2A	PRKCDBP
CHMP2A	LRRC28
CHMP2A	TRIM66
CHMP2A	NCRNA00094
CHMP2A	DUSP6
LOC731365	EIF4B
LOC731365	HSPB8
LOC731365	LOC727900
ZYG11B	SELK
AZIN1	FOXJ3
AZIN1	C17orf85
RPL27	LOC641814
RPL27	RPL12
DNM2	TIGD7
DNM2	GSTO2
DNM2	RHBDD3
VPS13D	STT3A
LOC23117	LOC729978
LGALS9B	MON1B
TRIM6	TRIM6-TRIM34
CRIP1	LOC649571
CRIP1	LOC646082
CRIP1	PLP2
LOC731486	ADORA3
HIBCH	ABCC6P1
ACTR3	SEC24D
ACTR3	FLJ20273
ACTR3	TM9SF2
ACTR3	HNRPA2B1
ACTR3	ATP2B1
ACTR3	C22orf40
ACTR3	MORF4L1
ACTR3	ROD1
