tissue	Module	Annotation	moduleSize	hubs.MEGENA	keyDrivers.BN	sqrtBMI.Rho	sqrtBMI.Pval	sqrtBMI.P.adj	logmatsuda.Rho	logmatsuda.Pval	logmatsuda.P.adj	logSi.Rho	logSi.Pval	logSi.P.adj	logmatsuda.All.Overlap.Size	logmatsuda.All.FE	logmatsuda.All.Pvalue	logmatsuda.All.P.adj	sqrtBMI.All.Overlap.Size	sqrtBMI.All.FE	sqrtBMI.All.Pvalue	sqrtBMI.All.P.adj	logSi.All.Overlap.Size	logSi.All.FE	logSi.All.Pvalue	logSi.All.P.adj	CisEQTLs.Overlap.Size	CisEQTLs.FE	CisEQTLs.Pvalue	CisEQTLs.P.adj	logmatsuda.rank	Parent
adipose	M30	GO_IMMUNE_SYSTEM_PROCESS	1003	PLA2G7,LCP1,TYROBP,LPXN,KYNU,NCKAP1L,IFI30,LAPTM5,CD86,ACP5,SLC7A7,FERMT3,SPOCD1,ALCAM,PARVG,GLIPR1,DOCK2,CXCL16,ITGAX,CD300A,CD53,TREM2,EBI2,FOLR2,CD163,SLC15A3,FPR3,LOC642590,NPC2,C1QB,C3AR1,BCAT1,VSIG4,MS4A6A,LGMN,DNASE2B,SASH3,GLA,FCGR2A,TOP2A,CTSD,KIAA1598,NUSAP1,TTYH3,HLA-DMB,SLCO2B1,HCST,CEP55,HEXB,ITGB2,SLC16A10,M6PR,TIMP1,ATP6AP1,NPL,RAP2A,RP2,ADAM9,FAM129B,H2AFY,CSGALNACT2,LILRB5,CD276,GRN,SPRED1,ROD1,PRRX2,SMS,TM4SF19,MSR1,UBE2C	PLA2G7,TYROBP,KYNU,CD86,HLA-DRA,DOCK2,CD163,C1QB,NPL	0.586362635692847	1.4166548646447e-24	2.92048849019061e-23	-0.564381672586762	4.29822900773088e-22	4.60770149628751e-20	-0.367561136138378	9.1171836681983e-09	1.48085165034979e-07	717	2.4	4.5970974195768e-169	2.01603617745805e-166	730	2	3.42372614905892e-129	9.71532643709425e-127	466	2.8	6.75724756293946e-113	1.48168010198272e-110	242	1.15285882764685	0.00625743020850037	0.141680038324174	1	M6
adipose	M6	GO_IMMUNE_SYSTEM_PROCESS	2126	PLA2G7,LCP1,NLF2,RAC2,TYROBP,CMTM2,FAM65B,GPSM3,LPXN,KYNU,MMP25,NCKAP1L,IFI30,FPR1,LAPTM5,CD86,MXD1,FYB,SEMA4D,ACP5,SLC25A39,CORO1A,SLC7A7,FERMT3,NFE2,WAS,FGR,SPOCD1,NKG7,EVI2B,ALCAM,PARVG,ITK,HCK,GLIPR1,IL7R,DOCK2,FGD3,PSCDBP,CXCL16,ITGAX,CD300A,CD53,TUBB1,TREM2,AMICA1,CD3D,EBI2,PTPN6,GZMA,FOLR2,CD163,SLC15A3,FPR3,LOC642590,GP9,NPC2,ADAM8,P2RY13,C1QB,C3AR1,LTB,BCAT1,EGR1,VSIG4,PRKCB1,MS4A6A,LGMN,CSF3R,DNASE2B,SASH3,GLA,MAN2B1,DSP,FCGR2A,TOP2A,CTSD,KIAA1598,LOC100134530,NUSAP1,TTYH3,HLA-DMB,JUNB,SLCO2B1,CD48,SORL1,ARHGDIB,HCST,CEP55,HEXB,GBA,COL1A1,ITGB2,SLC16A10,SLC12A9,M6PR,CALML5,FCGRT,COL5A1,S100A4,MVP,TIMP1,C1S,ATP6AP1,CD99,EFEMP1,COL1A2,PDIA5,VCAN,RAB32,FBN1,NPL,CD248,RAP2A,RP2,PTGIS,ADAM9,C17orf58,PI16,GFPT2,FAM129B,FAM46A,C1QTNF3,DARC,H2AFY,CSGALNACT2,LILRB5,ITGB4,CD276,GRN,MLPH,SPRED1,ROD1,PRRX2,RGS18,ZNF807,FNDC1,AHNAK2,SMS,SMAP2,TM4SF19,SLAMF6,MSR1,UBE2C,NR4A2,TXN,TIMP2	S100A8,PLA2G7,LCP1,RAC2,TYROBP,FAM65B,KYNU,MMP25,SEMA4D,DOCK2,CD163,C1QB,VSIG4,CSF3R,NPL	0.549903060214476	3.08129181837522e-21	4.4637092287814e-20	-0.526090804344934	6.51409552309416e-19	1.58707054562658e-17	-0.347150883480387	6.47523662215333e-08	7.88801552153224e-07	1157	1.8	1.99492256130252e-134	6.01469152232708e-132	1263	1.6	7.25548824653567e-117	1.66668930006134e-114	710	2	1.8777644786112e-88	2.92204382090981e-86	489	1.09902430090161	0.00672960020416274	0.141680038324174	2	M1
adipose	M5	GO_MITOCHONDRIAL_PART	1129	COX5B,ACLY,PXMP2,PPP1R16A,ACACA,NDUFB8,BCKDHB,PCCA,ATP5B,COX8A,SDHB,FASN,UQCRFS1,ALDH6A1,AACS,ECHS1,COQ9,COX7C,MRPL12,GPT,CYC1,PDHB,LDHD,ETFA,ALDH1L1,BRP44,PCCB,CHCHD10,LPIN1,AZGP1,AUH,HADH,ANG,GPD1L,ATP5A1,NDUFA2,ATPAF1,ACADM,HDDC3,MOSC1,TM7SF2,CAMK1,ATP5J,AGPAT2,CLPP,CSNK2A2,PHF13,SLC27A2,C7orf55,ABHD5,NAALAD2,GPAM,ELOVL6,HLF,RTN3,PFKFB3,POLR2I,DAPK2,CCDC50,ADORA1,LOC730908,GSDMB,UQCRH	ACACA,ATP5B,FASN,GPT,LDHD	-0.628259368448936	5.71638495341696e-29	3.82997791878937e-27	0.438403897795461	5.62339415793417e-13	5.37210759268911e-12	0.371109179721174	6.39251041236013e-09	1.18151226931898e-07	688	2	7.69886826267472e-108	1.48557361996571e-105	850	2.1	4.62850229143989e-167	1.86065792115884e-164	497	2.6	1.54433113452281e-109	3.10410558039084e-107	288	1.21887801092673	7.10441886494566e-05	0.00951992127902719	3	M1
adipose	M9	GO_RESPONSE_TO_HORMONE	773	ANKRD38,AKR1C4,UCHL1,ENO1,CRYAB,HTRA1,GCOM1,LGALS1,ANXA5,EPDR1,LAMP1,SLC24A6,LEP,ANXA2,SRPX2,CES1,LOC401115,PTPN11,PMEPA1,ITGB5,LOC392437,VLDLR,PLEKHM2,LSM4,CYB5R3,TRIM8,SPARC,ATP6V1F,UBE2D4,HMBS,SEC61A1,KANK4,PPIL1,GLG1,PSAP,ACTR1A,AP2S1,REEP5,C20orf24,P2RX6,ITGB1,GPX1,RAB10,NQO1,AKR1C2,TRIM24,SORBS1	AKR1C4,UCHL1,ENO1,ANXA5,LEP,PMEPA1,TRIM24	0.436082097737054	4.48694457909577e-13	3.00625286799417e-12	-0.487377093148514	4.41743953119885e-16	6.2309147071647e-15	-0.35841652610342	2.23223282852011e-08	3.12543541233886e-07	524	2.3	1.60939404776094e-107	2.98604495630722e-105	485	1.7	7.97125006145194e-53	7.53986476400866e-51	347	2.7	3.09355979546633e-78	4.26380927237987e-76	204	1.26099211210203	0.000113561416570287	0.0121737838563348	4	M1
adipose	M25	GO_MITOCHONDRION	436	PXMP2,PPP1R16A,BCKDHB,PCCA,ALDH6A1,ECHS1,COX7C,GPT,LDHD,ETFA,ALDH1L1,PCCB,LPIN1,AZGP1,AUH,HADH,ATPAF1,ACADM,MOSC1,TM7SF2,C7orf55,PFKFB3,LOC730908	PXMP2,PPP1R16A,BCKDHB,GPT,PCCB	-0.666663631696747	1.24832518450773e-33	6.69102298896141e-31	0.500895571859852	4.97786873390175e-17	7.99343171608381e-16	0.412781550916134	7.07517759632119e-11	2.91715014740628e-09	330	2.5	1.27767838057744e-87	1.9261001587205e-85	370	2.3	6.62998924855413e-100	1.14225243339375e-97	255	3.5	1.5378588575451e-88	2.47287704293251e-86	111	1.21646098887716	0.0120519626842118	0.198756828351981	5	M5
adipose	M55	GO_RESPONSE_TO_HORMONE	522	ANKRD38,AKR1C4,UCHL1,CRYAB,HTRA1,GCOM1,EPDR1,LEP,ANXA2,SRPX2,CES1,LOC401115,PTPN11,PMEPA1,ITGB5,LOC392437,VLDLR,CYB5R3,SPARC,UBE2D4,KANK4,REEP5,C20orf24,P2RX6,ITGB1,GPX1,RAB10,NQO1,AKR1C2,TRIM24,SORBS1	UCHL1,LEP,PMEPA1,SPARC,NQO1,TRIM24	0.464421415992788	7.84018349984236e-15	6.4651359321777e-14	-0.486754719915061	4.87327744838069e-16	6.69763259572321e-15	-0.384273886405623	1.64837968825147e-09	3.68138130376161e-08	357	2.3	1.55036493621226e-74	2.02134066278052e-72	351	1.9	2.63935885011544e-48	2.19521846430291e-46	264	3	6.42854371440404e-73	8.16086707323292e-71	147	1.34557691655647	4.03904139791055e-05	0.00721642063093352	6	M9
adipose	M198	GO_LYTIC_VACUOLE	155	NCKAP1L,CD86,CXCL16,EBI2,SLC15A3,NPC2,HLA-DMB,HCST	CCL3L3,HCST,LOC730415	0.601740277945399	4.10609889462707e-26	1.46724600501341e-24	-0.581956863876771	1.07212866309221e-23	2.87330481708711e-21	-0.397765626719349	3.85594094719896e-10	1.21575549864626e-08	133	2.9	1.93243623276838e-47	1.55367873114577e-45	137	2.4	6.80162074238581e-42	4.89716693451779e-40	110	4.2	7.32115513304398e-51	6.54023191885262e-49	34	1.04811494909126	0.409669412003728	0.963459522523302	7	M30
adipose	M200	GO_IMMUNE_SYSTEM_PROCESS	149	LCP1,TYROBP,SLC7A7,FERMT3,DOCK2,FCGR2A,ITGB2	TYROBP	0.580707293933679	4.97188626506316e-24	8.67507110257475e-23	-0.555093235787246	2.77114856422302e-21	1.35030511856685e-19	-0.375138155111731	4.24921910095929e-09	8.4354868078303e-08	121	2.7	2.76719833269238e-38	1.85402288290389e-36	129	2.4	2.24251607161875e-37	1.42340756966959e-35	93	3.7	4.58205073308419e-36	2.76297659204977e-34	32	1.02618439547821	0.466833180108046	1	8	M30
adipose	M557	GO_LYTIC_VACUOLE	97	NCKAP1L,CD86,CXCL16,HCST	HCST	0.612315584898432	3.21126054485869e-27	1.43436304337021e-25	-0.587939144419306	2.89870218423603e-24	1.55370437075051e-21	-0.399332231254169	3.24345847943107e-10	1.08655859060941e-08	89	3.1	2.00470818818016e-37	1.28942830663748e-35	91	2.6	2.90781686223714e-33	1.57610208353168e-31	79	4.9	1.35968943037047e-44	1.05792609872696e-42	25	1.23148739470243	0.146884376091242	0.618800834420155	9	M198
adipose	M27	GO_SMALL_MOLECULE_METABOLIC_PROCESS	218	ANG,GPD1L,HDDC3,CSNK2A2,PHF13,SLC27A2,ABHD5,NAALAD2,HLF,DAPK2,CCDC50,GSDMB	ORMDL3,ANG,NAALAD2,HLF	-0.612616489757197	2.98245311144013e-27	1.43436304337021e-25	0.522246117880768	1.29243235125207e-18	2.88643225112963e-17	0.418413632332562	3.66400454517643e-11	1.63658869684547e-09	152	2.3	9.03039600654957e-34	5.12501533359942e-32	163	2.1	1.82853691991846e-31	8.82086210168665e-30	114	3.1	1.12832958212706e-33	6.25639299331144e-32	57	1.24933831290087	0.0366694093473535	0.35304282480524	10	M5
