source	target
RPS28	LOC647030
RPS28	LOC100130070
RPS28	LOC100129028
RPS28	RBMS3
FLJ36848	OAZ2
FLJ36848	PRKAG1
MLYCD	LPIN1
MLYCD	DYNLT1
MLYCD	PEX11A
MLYCD	SORT1
MLYCD	SLC25A34
MLYCD	NUDT3
MLYCD	ABHD1
MLYCD	PHKA2
MLYCD	ECHDC3
MLYCD	CERK
MLYCD	IRF7
MLYCD	SLC25A42
SERTAD2	CRBN
AUP1	SLC35B1
AUP1	ZNF524
AUP1	MMS19L
BRD9	LSM14A
BRD9	PARVB
SELM	TCEAL7
DCK	GTDC1
ZFPM1	SPR
LOC730525	SPRY1
LOC649150	LIPA
LOC649150	LOC653881
LOC649150	LOC642741
LOC649150	LOC728873
LOC649150	ACTG1
LOC649150	CRTAP
LOC649150	EEF1A1
LOC649150	LOC440595
TGOLN2	RANGAP1
TGOLN2	RBM42
TGOLN2	COPB2
TGOLN2	CD81
TGOLN2	CCNI
TGOLN2	TRAF3IP2
TGOLN2	IKBKG
TGOLN2	AKAP1
TGOLN2	YTHDF2
TGOLN2	TJAP1
TGOLN2	CDC42EP4
TGOLN2	PPP1R11
TGOLN2	MXD4
TGOLN2	C16orf57
TGOLN2	WBP11
TGOLN2	ARIH2
TGOLN2	GIPC1
TGOLN2	LOC728969
TGOLN2	CDC42
TGOLN2	CIAO1
TGOLN2	CXXC5
TGOLN2	FAM134B
TGOLN2	FBXO38
TGOLN2	MEG3
TGOLN2	OTUB1
TGOLN2	RAB11FIP1
TGOLN2	SNX24
TGOLN2	TUBGCP6
TGOLN2	VPS16
FHOD1	HSF4
GSTM4	GSTM1
BASP1	TMEM71
BASP1	PTGS1
BASP1	RBM47
RPS16	LOC729903
LOC653314	RPL19
LOC653314	LOC100129424
LOC653314	LOC647276
LOC653658	LOC643358
LOC653658	LOC100129742
LOC653658	LOC100131510
LOC653658	PFDN5
LOC653658	RAE1
COX4I1	ATP5I
LOC647361	LOC100129902
FBXO32	DKFZp451A211
FBXO32	C8ORFK36
FBXO32	KBTBD4
LOC654161	STRN
LOC654161	MEX3A
C2CD2	DDAH2
FAM125B	KLHDC3
GLIPR2	C17orf71
C14orf2	PI4K2B
PAAF1	TRIL
PAAF1	C15orf57
PAAF1	POLR3A
ATP5J	SLC26A10
PCYT2	SEPX1
LOC648622	CARD14
COL4A1	CD93
COL4A1	COL4A2
COL4A1	TM4SF1
COL4A1	FSCN1
COL4A1	F2R
COL4A1	LAMA4
ECH1	HADHA
ECH1	AK3
ECH1	ETFB
SH3D19	FAM171A1
AAMP	PPP1R3C
AAMP	CENPL
AAMP	SLC39A9
EFEMP2	COL16A1
EFEMP2	BCL2L2
EFEMP2	WASH2P
EFEMP2	SPG3A
C8orf59	HDHD2
C8orf59	ZBTB8OS
C8orf59	TM2D1
DNAJB14	SACM1L
PFKFB4	SEC14L5
HNRPDL	PPWD1
HES4	PTTG1IP
HES4	RFNG
RPL12	LOC645688
RPL12	LOC729742
S100A1	S100A13
LRIG2	CLCN1
BCL2L1	SLC25A37
COX6C	ETFDH
LOC644250	EIF2AK4
ITGB2	PSCD4
ITGB2	FCGR2A
ITGB2	EFHD2
ITGB2	TYROBP
ITGB2	LYN
ITGB2	SMAP2
RGL1	PPT1
RGL1	SRPX
RGL1	PLOD2
RGL1	OLFML1
RGL1	RFTN2
LOC347292	LOC643811
LOC347292	RPL36
ATAD1	DLAT
TMEM120A	TAF10
TMEM120A	ICMT
TMEM120A	PXMP2
C5orf21	ACO1
C5orf21	LOC100128056
CPSF1	TYK2
CPSF1	TYSND1
CPSF1	PCID2
CPSF1	SDCCAG3
CHD1	MEX3C
CHD1	PER2
TIGA1	RNASEH2A
TIGA1	SNHG7
ACO2	PDGFC
ACO2	CAMLG
ACO2	CRAT
ACO2	GLG1
ACO2	TOMM40L
ACO2	PRDX4
ACO2	C6orf108
ACO2	ACADM
ACO2	MRPS27
LENG8	EPHB4
HNRPH3	ATXN1
TMED2	FBXO9
SERF1B	LOC728492
PI4KAP2	LOC220686
PHF17	SPRR1A
