tissue	Module	Annotation	moduleSize	hubs.MEGENA	keyDrivers.BN	sqrtBMI.Rho	sqrtBMI.Pval	sqrtBMI.P.adj	logmatsuda.Rho	logmatsuda.Pval	logmatsuda.P.adj	logSi.Rho	logSi.Pval	logSi.P.adj	logmatsuda.All.Overlap.Size	logmatsuda.All.FE	logmatsuda.All.Pvalue	logmatsuda.All.P.adj	sqrtBMI.All.Overlap.Size	sqrtBMI.All.FE	sqrtBMI.All.Pvalue	sqrtBMI.All.P.adj	logSi.All.Overlap.Size	logSi.All.FE	logSi.All.Pvalue	logSi.All.P.adj	CisEQTLs.Overlap.Size	CisEQTLs.FE	CisEQTLs.Pvalue	CisEQTLs.P.adj	logmatsuda.rank	Parent
muscle	M97	KEGG_RIBOSOME	216	LOC388707,LOC648249,LOC401537,LOC441013,LOC644464,LOC644511,RPL4,LOC347544,LOC440311,ADSL,GPS2,RPS4X	LOC388524,LOC401537,LOC644464,LOC285053,LOC728139,LOC347544	-0.344713571390463	2.50570664151243e-08	1.63810571688875e-06	0.331737637655471	1.26181920334832e-07	4.71379602393694e-06	0.306991523060131	2.4279669435988e-06	0.000181403815928882	91	7	5.01755320623882e-54	4.72352458835322e-51	82	6.4	5.19493061272828e-45	2.71694871045689e-42	67	8.6	4.14743994324665e-44	1.9521999812862e-41	36	0.630886365636828	0.999773506519902	1	1	M5
muscle	M382	GO_TRANSLATIONAL_INITIATION	163	LOC388707,LOC648249,LOC401537,LOC441013,LOC644464,LOC644511,LOC440311,ADSL,GPS2	LOC388524,LOC649076,LOC401537	-0.327506315222306	1.30748678115508e-07	6.21650533221913e-06	0.309952253938001	8.72441134099831e-07	2.53492618407895e-05	0.279441475375903	1.93391222771972e-05	0.000507407849294849	65	6.7	4.87564215415564e-37	1.91247063496755e-34	63	6.6	2.4786371074969e-35	8.33353204641995e-33	48	8.2	1.16634582065138e-30	2.74499488890303e-28	30	0.696684330151098	0.993870327313964	1	2	M97
muscle	M5	KEGG_RIBOSOME	2629	FNDC5,LOC729340,LOC388621,LOC731640,FLJ43681,LOC642828,NLRP8,LOC90586,LOC100129742,CCBE1,LOC653658,LOC388707,LOC648249,CCDC125,LOC649946,LOC388076,LOC388532,RPS28,LOC728244,KIAA1751,LOC100132585,LOC100128098,PTPLAD2,FLJ36131,SHROOM4,LOC100130070,FAM175A,LOC100131787,LOC100131205,DMC1,LOC729208,LOC100129502,LOC100134504,LOC100132291,LOC645157,EID2B,OCIAD1,LOC653773,LOC651202,LOC645452,LOC728484,C2orf69,LOC646527,LOC100132547,LOC401098,ZNF738,RBMX,LOC401537,ZNF486,ZNF223,LOC728755,RPL23,TMEM106A,LOC728481,LOC338870,CDAN1,LOC441013,LOC642947,LOC389787,LOC644464,LOC644250,LOC100131735,LOC100131718,CEP27,PIP5K2B,AKAP1,LOC100130168,LOC647285,LOC730255,LOC649088,UQCRHL,PTGES3,IER3IP1,CSF2RA,LOC388339,LOC644511,TXNL1,LOC389765,FH,LOC100131572,LOC728973,FAM162A,HAT1,ALKBH5,SDHD,RPL4,DDX17,ATP5C1,LOC100131672,UQCRC2,CROP,LOC389293,NDUFAB1,LOC390354,NAT13,CALM3,RG9MTD1,GKAP1,FEM1A,LOC643531,MRPL1,LOC347544,LOC283412,LOC100132457,LOC646900,LOC100133840,UBE1C,LGALS3,LOC440311,FKBP3,ADSL,FAM98A,LOC653489,GLRX2,GNL3L,C14orf166,LOC255167,IBTK,C2orf47,HNRNPA2B1,USP25,GPS2,CHCHD1,LOC644907,FYTTD1,WDR22,ACBD3,CLK4,SIRT1,UBQLN2,LOC728820,LOC728428,ZFR,COX7B,TUBA4A,USP1,ACTR6,UBE4A,SMARCA2,TCP1,LOC644914,MBNL1,G3BP1,C1orf218,UBLCP1,TTN,PSMA2,RSBN1,LOC401019,RAB3IP,LOC440345,MLLT10,TRIM13,SULT1A1,SYAP1,SDHALP1,RPS4X,ZNF146	LOC642828,NLRP8,LOC100128098,LOC100131718	-0.0679431112072143	0.286515997627712	0.429363515069609	0.103350585236671	0.1087733916732	0.26583403665927	0.0819821076288127	0.218533014860245	0.428062796898533	298	1.9	2.65076579256106e-30	5.67143390253859e-28	227	1.5	6.70830241938865e-10	2.92370180445022e-08	183	1.9	9.26087244723257e-20	1.30937687883141e-17	574	0.826463538704159	0.999999999111794	1	3	M1
muscle	M362	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	194	FNDC5,LOC388621,LOC731640,LOC388532,LOC728244,LOC100131205,LOC729208,LOC645157,LOC646527,LOC728973,LOC100131672,C14orf166,LOC644907,LOC401019,MLLT10	LOC645157	-0.206515398071842	0.00107126048742494	0.00811984398439483	0.260201791343369	4.17391334207932e-05	0.000642046081737495	0.213521976794533	0.00120928464622819	0.0107195910165652	58	5	1.66685781324374e-25	3.13835989077531e-23	32	2.8	1.1629904861953e-07	3.46468115096283e-06	33	4.7	9.16402633367796e-14	6.16215313608888e-12	30	0.585358483580562	0.999914657718832	1	4	M95
muscle	M723	GO_TRANSLATIONAL_INITIATION	73	LOC388707,LOC648249,LOC401537,LOC644464	LOC388524,LOC401537	-0.297008390124742	1.92116073074576e-06	5.91039448341195e-05	0.290281388728753	4.39884382007161e-06	9.58581382457271e-05	0.277490216760704	2.22207506113319e-05	0.000527347674670956	34	7.8	1.22535672970739e-22	1.92258470891089e-20	34	7.9	7.8008378603248e-23	1.26615668305341e-20	29	11	3.24723126814648e-23	5.45882770684482e-21	11	0.570390412767543	0.993119933025966	1	5	M382
muscle	M95	REACTOME_TRANSLATION	1671	FNDC5,LOC729340,LOC388621,LOC731640,FLJ43681,LOC642828,LOC100129742,LOC653658,LOC649946,LOC388076,LOC388532,LOC641848,RPS28,LOC728244,LOC100130070,LOC100131787,LOC100131205,LOC729208,LOC100134504,LOC100132291,LOC645157,LOC653773,LOC651202,LOC728484,LOC646527,LOC100132547,RBMX,RPL23,LOC728481,LOC338870,LOC389787,LOC100131735,AKAP1,LOC647285,LOC730255,UQCRHL,PTGES3,IER3IP1,LOC388339,TXNL1,FH,LOC100131572,LOC728973,FAM162A,HAT1,ALKBH5,SDHD,DDX17,ATP5C1,LOC100131672,UQCRC2,CROP,LOC389293,NDUFAB1,NAT13,CALM3,RG9MTD1,GKAP1,LOC100128337,FEM1A,MRPL1,LOC100132457,LOC646900,UBE1C,LOC284988,FKBP3,C8orf59,FAM98A,GLRX2,C14orf166,IBTK,C2orf47,HNRNPA2B1,USP25,CHCHD1,LOC644907,FYTTD1,WDR22,ACBD3,CLK4,SIRT1,UBQLN2,LOC728820,SFRS12,LOC728428,DEK,ZFR,COX7B,TUBA4A,USP1,ACTR6,UBE4A,USP6,SMARCA2,TTC33,TCP1,LOC644914,MBNL1,G3BP1,UBLCP1,PSMA2,FBXL3,SMARCA5,KBTBD7,RSBN1,LOC401019,LOC730254,MLLT10,ZNF146,TM2D1	LOC731640,LOC642828,LOC645157,IER3IP1,TCP1	-0.0765308070109424	0.229797147021079	0.368662294147314	0.125073304008363	0.0519862822805444	0.160880625045708	0.0812966273474805	0.222420959913636	0.434052843413552	193	1.9	6.55899580782675e-20	9.95909460240016e-18	131	1.3	0.000403741159522808	0.00623085127171757	106	1.8	5.13458142921513e-09	1.93347798298525e-07	416	0.942365271471886	0.937782664205303	1	6	M5
muscle	M383	KEGG_RIBOSOME	53	LOC347544,RPS4X	LOC285053	-0.345247401129614	2.37664971123388e-08	1.63810571688875e-06	0.367443530983437	3.77059409688733e-09	2.46502589084009e-07	0.337311711492049	1.91423568456165e-07	2.50286315756436e-05	26	8.2	2.41629510493512e-18	2.8433752647324e-16	19	6.1	6.56056703249508e-11	3.15108051244432e-09	19	10	1.09679597036946e-14	8.19463275004613e-13	6	0.428526587979732	0.998008063278261	1	7	M97
muscle	M724	NA	23		LOC91561	-0.340789903138224	3.68475111634217e-08	2.14124981538551e-06	0.324779288203304	2.37917995118435e-07	8.29540742979611e-06	0.261990973992379	6.45539886285741e-05	0.00116419779492222	16	11.6	3.96507681547725e-15	3.3327886732949e-13	15	11.1	1.03432379595226e-13	6.85712972893987e-12	9	10.9	5.00430075294043e-08	1.61337285233497e-06	2	0.329158103810519	0.992050917077176	1	8	M382
muscle	M906	NA	18	LOC441013	LOC91561	-0.31193280622194	5.35464157905988e-07	2.1542134968064e-05	0.303600230177419	1.4903009934072e-06	3.71155914072364e-05	0.238842161228261	0.00028194186163331	0.00368638984085553	14	13	1.68587234029331e-14	1.22083093934779e-12	12	11.3	2.21960018767482e-11	1.17389416667252e-09	7	10.8	1.70890282306078e-06	3.96246580696902e-05	1	0.210295455212276	0.996016747489053	1	9	M724
muscle	M678	NA	48	LOC643531,LOC728820	LOC390354	-0.355715892793975	8.25750306731136e-09	7.19779017367307e-07	0.406565934091708	4.75908580822891e-11	8.29667292567906e-09	0.321541560349066	7.42732331753712e-07	6.47415015845319e-05	21	7.3	8.04453308175963e-14	5.48777061099168e-12	18	6.4	8.73073774904651e-11	4.02897868478058e-09	18	10.4	2.20082681722082e-14	1.54616295950125e-12	13	1.02519034415985	0.513259424016099	1	10	M365
