Probe_Id	Symbol	is.hub	Module	has.cisEQTL	module.rank	cor.w.sqrtBMI	cor.w.logmatsuda	cor.w.logSi	is.keydriver	connectivity
ILMN_3236653	RNU1-5	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_3244646	RNU1G2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1703337	LOC441763	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_3249578	LOC100132394	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_1702487	SGK	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_2391861	GSTM1	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	3
ILMN_3245678	RNU1A3	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_3246805	LOC100134364	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_1757072	LOC642489	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	30
ILMN_1691156	MT1A	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_3240220	RNU1F1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_3243664	LOC440353	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	44
ILMN_3224290	LOC730052	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	24
ILMN_3270896	LOC100129913	FALSE	M2	FALSE	490	NegativeCorr	PositiveCorr	PositiveCorr	FALSE	5
ILMN_1731922	LOC644931	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	17
ILMN_1768973	HIST2H2AC	FALSE	M2	FALSE	490	NotCorr	NegativeCorr	NegativeCorr	FALSE	8
ILMN_3214893	LOC100132761	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	TRUE	40
ILMN_1655952	FAM39E	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	9
ILMN_3304111	LOC729978	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_3237270	LOC100133609	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_1659888	PPP1R14B	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	3
ILMN_3242900	HIST2H2AA4	TRUE	M2	FALSE	490	PositiveCorr	NegativeCorr	NegativeCorr	FALSE	14
ILMN_1689989	CDC42BPB	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	165
ILMN_3237729	LOC100133551	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	24
ILMN_1692464	FLJ20699	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	3
ILMN_1768311	LOC728888	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	38
ILMN_1656868	LOC23117	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1790971	LOC652324	FALSE	M2	FALSE	490	NotCorr	NegativeCorr	NotCorr	FALSE	4
ILMN_1668072	PGAM2	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_1676014	LOC728635	FALSE	M2	FALSE	490	PositiveCorr	NotCorr	NotCorr	FALSE	3
ILMN_1770244	CBX1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1657348	LOC650909	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_3239610	LOC100133565	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_1694504	RNF220	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	TRUE	283
ILMN_1679520	AGPAT1	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	67
ILMN_1720755	C10orf71	TRUE	M2	FALSE	490	NegativeCorr	NotCorr	NotCorr	FALSE	44
ILMN_2198893	LOC407835	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	163
ILMN_1724406	INO80E	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	102
ILMN_1796490	GRINA	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	37
ILMN_1651735	TGOLN2	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	TRUE	101
ILMN_1733863	FAM100A	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	42
ILMN_1772605	FRS3	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	TRUE	143
ILMN_2147105	LOC440348	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1720287	E4F1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	84
ILMN_1758798	LOC728734	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	26
ILMN_1754865	LOC400455	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1673933	LOC440341	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	27
ILMN_2170625	LOC389286	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	20
ILMN_1671911	MTA1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	17
ILMN_1668484	LRRC47	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	30
ILMN_1682864	SPSB3	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	68
ILMN_1683609	UBE1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_3192419	LOC100128485	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_3292551	LOC286157	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	84
ILMN_1694530	DDA1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	13
