row	col	weight
RNU1-5	RNU1G2	0.990598504526866
RNU1-5	RNU1-3	0.989600831675451
RNU1G2	RNU1-3	0.989210587202489
LOC441763	LOC100133565	0.982243308678175
S100A8	S100A9	0.979495414666304
RNU1-5	RNU1A3	0.978419518004407
LOC100132394	LOC100008589	0.976546148368535
SGK	SGK1	0.976118810361155
RNU1G2	RNU1A3	0.973096744949842
GSTM1	GSTM2	0.970134925486543
LOC340156	MYLK4	0.969712719972876
RNU1A3	RNU1-3	0.969055463448512
LOC100134364	LOC100008589	0.967205883563001
LOC642489	FKBP1A	0.966059323725263
AKR1C4	AKR1C2	0.960818296808182
FNDC5	MLLT10	0.95932599159802
LOC728901	DYSFIP1	0.958954870372725
FOS	EGR1	0.958823782706422
TRIML1	MED1	0.957906237501324
ZNF576	TRIML1	0.956787486518308
ITGB1BP3	ZNF197	0.956147855969318
MT1A	MT1X	0.953210690383057
RNU1-5	RNU1F1	0.953036075154028
RNU1F1	RNU1G2	0.952663431773791
PSENEN	MED1	0.952351848989917
PSENEN	TRIML1	0.952339771374494
ZNF576	LOC100134420	0.952312894084217
LOC653635	TRIML1	0.952208745184894
RNU1F1	RNU1-3	0.95174609691679
PSENEN	ZNF576	0.951372373865647
TRIML1	SLC25A45	0.950449744211881
LOC100134364	LOC100132394	0.94969336774664
LOC653635	DNA2	0.949030732390789
ZNF576	MED1	0.948856911570233
LOC440353	LOC100132247	0.947953382086903
TRIML1	LOC100134420	0.947920628598919
LOC441377	LOC641768	0.947429423872065
LOC641819	SLC25A45	0.945876316667914
LOC641819	NOC4L	0.945609224542781
ACTRT1	NOC4L	0.945590586419056
TRIML1	PTPN7	0.945553027288696
NSA2	LOC100128196	0.945515490817342
PTPN7	SLC25A45	0.945478522623707
LOC653635	ZSWIM4	0.945183874465756
PSENEN	SLC25A45	0.945078338734013
LOC653635	LYPD3	0.945028497507959
PSENEN	LOC100134420	0.944754631816534
LOC653635	SLC25A45	0.944370441105249
LOC653720	PSENEN	0.944223662679292
LOC641819	SLC16A2	0.944037094478392
SLC25A45	MED1	0.943959821517914
LOC730052	TMEM189-UBE2V1	0.943936947664887
LOC653720	TRIML1	0.943930811901196
PSENEN	PTPN7	0.943657933731537
DNCL1	DYNLL1	0.943636365863153
LOC342934	ZNF197	0.943276852399722
