source	target
ARRDC5	LCE3E
ARRDC5	C14orf183
HIST1H2AJ	CBLC
HIST1H2AJ	WDR53
HIST1H2AJ	SPATA31C2
HIST1H2AJ	AKAP14
HIST1H2BN	SCARF2
HIST1H2BN	TULP2
HIST1H2BN	RLBP1
HIST1H2BN	CD3E
HIST1H2BN	KHDC3L
HIST1H2BN	SIX6
HIST1H2BN	MT1H
HIST1H2BN	B3GNT4
HIST1H2BN	OOEP
HIST1H2BN	GALNT5
HIST1H2BN	OCM
HIST1H2BN	IFNW1
HIST1H2BN	ATXN3L
HIST1H2BN	SOX1
HIST1H2BN	SRMS
HIST1H2BN	LCNL1
HIST1H2BN	TMEM88B
HIST1H2BN	KBTBD13
HIST1H2BN	OR10T2
HIST1H2BN	OR10G9
HIST1H2BN	SNORA21
HIST1H2BN	DLK1
HIST1H2BN	FLYWCH1
HIST1H2BN	FOXQ1
HIST1H2BN	FUT2
HIST1H2BN	HHIPL2
HIST1H2BN	NXF3
HIST1H2BN	NYX
HIST1H2BN	OGG1
HIST1H2BN	PAGE5
HIST1H2BN	RPL32
HIST1H2BN	SLITRK3
HIST1H2BN	SMO
HIST1H2BN	WFDC2
KRTAP6-1	AQP5
KRTAP6-1	SNORA47
KRTAP6-1	C17orf72
KRTAP6-1	LCE1A
KRTAP6-1	SLC8A2
SFT2D1	PLEC
SFT2D1	SASH1
SFT2D1	SNRNP27
SFT2D1	TM9SF4
KRTAP10-12	OR2A14
KRTAP10-12	CACNG7
KRTAP10-12	NIPAL4
KRTAP10-3	LRRN2
KRTAP10-3	CYP3A7
KRTAP10-3	ISM2
KRTAP10-9	KCNG4
KRTAP10-9	IRS4
KRTAP10-9	EPS8L3
UNCX	ZNF599
UNCX	SSTR4
UNCX	CARD14
UNCX	NANOS2
UNCX	UTF1
TMEM211	PRSS12
TCEAL1	APEX1
ATP13A5	PHOX2A
ATP13A5	FJX1
ATP13A5	OR51S1
ATP13A5	CD2BP2
ATP13A5	GPR115
ATP13A5	MUC15
ATP13A5	PAQR7
ATP13A5	TAS2R31
HIST2H2AC	ZNF678
FAM127A	CHD1
FAM127A	ATF5
FAM127A	CTDSP2
FAM127A	ICMT
FAM127A	IGFBP4
FAM127A	MAGED1
FAM127A	MTCH1
FAM127A	SP4
FAM127A	SRM
FAM127A	TLN2
FAM127A	ZNF302
VPS54	LIN9
UQCRHL*	FMO5
ZNF184	ODF4
UGT2B11	MYH3
UGT2B11	AKR7L
UGT2B11	HES3
UGT2B11	NKAIN4
UGT2B11	CCDC159
UGT2B11	CA10
UGT2B11	CDH18
UGT2B11	INSC
UGT2B11	LGR5
SSX1	CABS1
SSX1	OR4E2
SSX1	ZNF812
SSX1	DGKH
SSX1	SYT14
SSX1	ZNF568
PGAM4	COL26A1
PGAM4	CCDC78
KRT17	HIST1H4I
NT5C1A	NR2E1
HOXA10	HOXA11
HOXA10	ZNRF1
KRTAP10-8	KRTAP6-1
KRTAP10-8	EPHB3
KRTAP10-8	TMEM105
KRTAP10-8	SLC34A3
KRTAP10-8	TCF23
KRTAP10-8	KPNA7
KRTAP10-8	MYBL2
KRTAP10-8	CD1A
KRTAP10-8	PLCH2
KRTAP10-8	PRSS22
KRTAP10-8	ADM2
KRTAP10-8	ANO7
KRTAP10-8	CCDC97
KRTAP10-8	CHN2
KRTAP10-8	CNTN2
KRTAP10-8	NXPH4
KRTAP10-8	PKLR
KRTAP10-8	SEZ6L2
KRTAP10-8	SLC4A5
KRTAP10-8	STK11IP
KRTAP10-8	TMEM180
NKX1-2	KIAA1875
NKX1-2	CRIP3
NKX1-2	P2RX2
GSTP1	CHMP2A
GSTP1	C19orf60
GSTP1	PSMD13
GSTP1	TSEN34
GSTP1	UFD1L
COX7C	UQCRHL*
COX7C	C12orf65
COX7C	COL6A2
COX7C	FLNA
COX7C	TRAM2
RPS21	FBL
RPS21	RPS27
RPS21	GIMAP1
RPS21	PRELP
RPS21	RBPMS2
A2M	SCN4B
A2M	TBX2
A2M	CD59
A2M	COL18A1
A2M	CXCL12
A2M	PTPRB
A2M	TAF1C
NDUFA4	MRPS33
NDUFA4	KIAA0754
NDUFA4	NDUFB9
LGALS3BP	OAF
LGALS3BP	PIGZ
LGALS3BP	SDC3
LGALS3BP	SPATA20
UBA1	PTMS
UBA1	ILK
UBA1	FBXL6
UBA1	C19orf43
UBA1	CDR1
UBA1	CTDNEP1
UBA1	SLC4A2
UBA1	SUPT6H
UBA1	UCP2
UBA1	ZNF3
TRIM28	SELO*
TRIM28	BAG6
TRIM28	SF1
COX4I1	XYLT1
COX4I1	UQCRH
C3	PCOLCE
C3	AEBP1
C3	COL16A1
C3	ASAP3
C3	EMILIN1
ILF2	SNPH
AKR1B1	DCAF12L2
AKR1B1	ME2
AKR1B1	NECAP2
TUFM	MRPL37
TUFM	LSMEM1
TUFM	GK5
TUFM	MRPS18A
TUFM	ALDOA
TUFM	BAI2
TUFM	MICU1
TUFM	POLD2
SST	SPPL2C
SST	RAB19
RPS25	SERPINF1
CTSK	SOGA2
CTSK	TMEM98
CTSK	CTHRC1
CTSK	XG
SLC25A39	RBM38
SLC25A39	AHSP
SLC25A39	GMPR
SLC25A39	MYL4
SLC25A39	LYL1
SLC25A39	KRT1
SLC25A39	EPB42
SLC25A39	FGGY
SLC25A39	HBM
SLC25A39	HBQ1
SLC25A39	C1orf170
SLC25A39	ADIPOR1
SLC25A39	BCAS1
SLC25A39	BCL2L1
SLC25A39	CCT8
SLC25A39	DCAF12
SLC25A39	DMTN
SLC25A39	FANCE
SLC25A39	FBXO7
SLC25A39	GUK1
SLC25A39	HBD
SLC25A39	KRTAP10-11
SLC25A39	MIPOL1
SLC25A39	MRPL30
SLC25A39	PCGF5
SLC25A39	PHOSPHO1
SLC25A39	R3HDM4
SLC25A39	RNF10
SLC25A39	SERPINB4
SLC25A39	SESN3
SLC25A39	SSX7
SLC25A39	TRIM24
SLC25A39	YBX3
PRPF8	EML3
PRPF8	USP11
PRPF8	STARD5
PRPF8	TGFB1I1
PRPF8	UBR4
PRPF8	TSC2
PRPF8	SMURF1
GPS1	PARP6
GPS1	TPRA1
GPS1	EFCAB4A
GPS1	ZFPL1
GPS1	BSG
GPS1	DGCR14
GPS1	ERCC2
GPS1	SNTA1
GPS1	VAT1
RPS8	LPHN1
RPS8	NOL7
RPS8	BUD13
RPS8	RPL14
QSOX1	SGSH
VKORC1	WDR83OS
VKORC1	PHPT1
VKORC1	TMEM205
VKORC1	TMEM14A
