tissue	Module	Annotation	moduleSize	hubs.MEGENA	keyDrivers.BN	sqrtBMI.Rho	sqrtBMI.Pval	sqrtBMI.P.adj	logmatsuda.Rho	logmatsuda.Pval	logmatsuda.P.adj	logmatsuda.All.Overlap.Size	logmatsuda.All.FE	logmatsuda.All.Pvalue	logmatsuda.All.P.adj	sqrtBMI.All.Overlap.Size	sqrtBMI.All.FE	sqrtBMI.All.Pvalue	sqrtBMI.All.P.adj	CisEQTLs.Overlap.Size	CisEQTLs.FE	CisEQTLs.Pvalue	CisEQTLs.P.adj	logmatsuda.rank	Parent
adipose	M12	GO_MITOCHONDRION	1689	ACSL1,ECHS1,PFKFB1,AACS,NDUFV2,MRPS15,ACAT1,COQ9,FASN,LDHD,UQCR10,AGPAT2,NDUFAB1,AZGP1,SDHB,CYC1,CLPP,LGALS12,CHCHD10,ACACA,MESP1,CS,NDUFB10,PPP1R16A,NIPSNAP3B,ELOVL5,ALDH6A1,ACO2,2-Mar,UQCRFS1,MRPL46,CLVS1,SLC27A2,ALDH1L1,ALDH9A1,DGAT1,GPI,TMEM126A,GPT2,ATPAF1,ACVR1C,ECI1,MRPS7,DLD,MPC2,ATP5D,HADH,DGAT2,GINS3,TWIST1,AIFM1,PHF13,CHCHD3,ETFB,PDHA1,MTHFD1,HLF,C14orf180,CD164,COPG1,ARMC10,SDHD,DDRGK1,ETFA,GRHPR,HSPA5,SARS,EMC4,GNAI1,IAH1,NAALAD2,CAPNS1,SLC25A33,RTN3,ATP5C1,IMP4,SCOC,SLC25A11,HSPA9,CPNE2,ADH1B,PRKAR2B,C5orf45,PPP2R1A,MECR,UBA1,DCTD,SLC2A4,GPAM,CCDC152,PDK2,RMND1,RNF144A,TIMM50,PNPLA4,PDXK,POLDIP2,HTRA2,PGM1,PPIE,PER3,BMS1,STOX1,TMEM135,SLC19A3,VEZF1,TSG101,SLC25A3,TTC36,TECR,SZT2,UQCRC2,VDAC2,TMEM222	ECHS1,PFKFB1,NDUFV2,AGPAT2,AZGP1,CYC1,ACACA,ALDH6A1,ACO2,PDHA1,SLC2A4,TECR	-0.358142202763383	1.02044959126236e-24	8.90254298584055e-24	0.4494405926113	2.63273065994767e-39	4.93393227382786e-38	1278	1.8	1.2319209590691e-190	3.74011203173379e-188	1133	1.8	9.42730014158941e-160	2.38510693582212e-157	1269	1.32203094740369	1.55771416640975e-60	7.88203368203334e-58	1	M3
adipose	M110	GO_ORGANIC_ACID_METABOLIC_PROCESS	397	ACAT1,AZGP1,NIPSNAP3B,ALDH6A1,SLC27A2,ALDH1L1,ATPAF1,ACVR1C,HADH,GINS3,TWIST1,PHF13,HLF,ETFA,GNAI1,NAALAD2,ADH1B,PRKAR2B,PDK2,RNF144A,PER3,STOX1,SLC19A3	NIPSNAP3B,ALDH6A1,HADH	-0.537134067620855	9.11528090653992e-59	1.1530830346773e-56	0.603675097584053	3.86583281952817e-77	6.52037135560419e-75	378	2.3	1.9037263126534e-117	3.21095171400873e-115	368	2.5	1.0680091698478e-126	1.90733872921055e-124	314	1.39171013656751	3.49772831002343e-21	2.94975087478643e-19	2	M12
adipose	M129	GO_IMMUNE_SYSTEM_PROCESS	2217	ARHGAP9,CYTIP,CD48,AMICA1,CORO1A,RAC2,NKG7,CSF3R,BIN2,CD3D,CST7,FGR,PTPN6,FYB,NRGN,PIK3CD,EVI2B,LYN,MYO1F,LAPTM5,FGD3,DOCK2,ACRBP,SEMA4D,HCK,BCL11B,AIF1,LCP1,CD2,CD53,RASGRP1,PIK3AP1,C1orf162,RASSF2,FCER1G,SASH3,PIK3R5,NFE2,EFHD2,ITGAL,LCP2,CD97,SYK,C6orf25,ITK,ARRB2,NCF2,VAMP8,TREML1,ATG16L2,TBX21,LEF1,CD37,JAK3,SLA,ARHGAP25,PRF1,HCST,IRF1,LAT2,NLRP12,LCK,ARHGDIB,ARHGAP4,GPR18,DEF6,ITGAM,CASP1,GPSM3,XPO6,SAMD3,BCL11A,S1PR5,GRAP2,IQGAP2,NBEAL2,GPR65,RASAL3,GMFG,PYCARD,PRAM1,CYTH1,FMNL1,MS4A1,HIST1H3H,SH2D1A,LPXN,PTGS1,KYNU,VASP,RHOG,PRKCB,C19orf38,MYO1G,ARHGEF18,PTPRC,NPL,POU2AF1,ARPC1B,PSMB9,PHOSPHO1,TAPBP,NLRC5,SH3BGRL3,AKNA,FKBP8,LYST,FXYD5,NFAM1,INPP5D,ARPC4,ISG15,ARHGEF1,PTPN7,P2RX5,IFNAR2,KIAA0101,SLAMF7,DENND4B,LPHN2,DLG5,ATXN1L,TAGLN2,CD300E,C11orf95,FAT1,RBFOX2,BACE1,MTCH2,CDK5RAP3,ANKZF1,SKAP1,NLRP1,TCIRG1,OTUD7B,TTC28,DSEL,CLK2,RAB24,TYRO3,TBC1D10C,TBXAS1,TLR8,TUBA4A,SP110,USP15,TAP1,TMEM206,UBE2C	ARHGAP9,CYTIP,CD48,CORO1A,RAC2,CD3D,FGR,FYB,SEMA4D,PF4,CX3CR1,CD53,IL7R,PRF1,TYROBP,LST1	0.18261839795082	3.35750466660773e-07	1.06181085081469e-06	-0.234431731147636	5.19766939300723e-11	1.81380738818045e-10	1407	1.5	7.27605634689178e-104	1.00409577587107e-101	1068	1.3	4.37885904553816e-34	1.47713511802821e-32	1434	1.13813323985706	5.71773625386181e-16	2.63015867677643e-14	3	M15
adipose	M15	GO_IMMUNE_SYSTEM_PROCESS	2742	FPR1,ARHGAP9,CXCR1,CYTIP,CD48,RGS2,CXCR2,AMICA1,CORO1A,RAC2,NKG7,CSF3R,SELL,BIN2,CD3D,CST7,FGR,PTPN6,FYB,NRGN,PIK3CD,EVI2B,LYN,CMTM2,MYO1F,LAPTM5,FGD3,DOCK2,ACRBP,SEMA4D,HCK,BCL11B,SERPINA1,MXD1,C16orf54,AIF1,LCP1,CD2,CD53,MSRB1,RASGRP1,CLEC4E,PIK3AP1,C1orf162,RASSF2,FCER1G,SASH3,PIK3R5,NFE2,EFHD2,ITGAL,LCP2,CD97,SYK,MPZL3,C6orf25,TMEM71,ITK,ARRB2,NCF2,VAMP8,TREML1,ATG16L2,TBX21,LEF1,CD37,JAK3,RNF149,SLA,ARHGAP25,PRF1,HCST,IRF1,LAT2,NLRP12,LCK,ARHGDIB,ARHGAP4,GPR18,DEF6,ITGAM,CASP1,GPSM3,XPO6,SAMD3,BCL11A,S1PR5,GRAP2,IQGAP2,NBEAL2,GPR65,RASAL3,GMFG,PYCARD,PRAM1,CYTH1,FMNL1,MS4A1,HIST1H3H,SH2D1A,LPXN,PTGS1,GIMAP2,KYNU,VASP,KIAA1551,RHOG,PRKCB,C19orf38,MYO1G,IL6R,ARHGEF18,LY75,PTPRC,NPL,POU2AF1,AMD1,ARPC1B,PSMB9,PHOSPHO1,LRRFIP1,TAPBP,NLRC5,SH3BGRL3,AKNA,CAP1,FKBP8,LYST,FXYD5,TREM1,BAZ1A,NFAM1,DOCK10,INPP5D,BRD4,MAP3K1,ARPC4,STK4,ISG15,JMJD1C,ARHGEF1,PTPN7,P2RX5,IFNAR2,SEC14L1,KIAA0101,FLI1,SLAMF7,DENND4B,LPHN2,DLG5,ATXN1L,TAGLN2,CD300E,C11orf95,FAT1,RBFOX2,BACE1,CBY1,SORL1,ECHDC2,HSPB6,MTCH2,CDK5RAP3,PALM,ANKZF1,SKAP1,NLRP1,TCIRG1,OTUD7B,TTC28,DSEL,CLK2,TET3,NRBP2,RAB24,TYRO3,TBC1D10C,TBXAS1,TLR8,VNN3,TUBA4A,SP110,USP15,TAP1,TMEM206,UBE2C	ARHGAP9,CYTIP,CD48,CORO1A,RAC2,ITGB2,SELL,CD3D,CLEC7A,FYB,DOCK2,SEMA4D,PF4,LCP1,S100A8,CX3CR1,CD53,IL7R,PRF1,TYROBP,LST1,AQP9	0.171735539314664	1.63993271383013e-06	4.88121148940026e-06	-0.223989729717635	3.73090252496665e-10	1.23388018145956e-09	1661	1.4	2.02952545741989e-99	2.46465571549072e-97	1260	1.3	3.52303994803857e-29	8.83962750598768e-28	1807	1.1595790255621	4.82516762220267e-26	8.1384493894485e-24	4	M4
adipose	M2	GO_IMMUNE_SYSTEM_PROCESS	6951	FPR1,SETD2,ARHGAP9,CXCR1,PRKDC,CYTIP,C10orf118,SLC25A39,CD48,ESCO1,RGS2,CXCR2,AMICA1,CORO1A,RAC2,NKG7,ARHGAP21,CSF3R,SELL,BIN2,CD3D,CST7,FGR,CDC27,BAZ1B,DCAF12,PTPN6,FYB,NRGN,PIK3CD,DDX6,EVI2B,LYN,CMTM2,MYO1F,LAPTM5,FGD3,DOCK2,ACRBP,SEMA4D,CEP350,HCK,BCL11B,SERPINA1,CRCP,HBQ1,AHSP,FAM46C,MXD1,CPED1,C16orf54,PLA2G7,RBM38,FBXO7,AIF1,LCP1,FANCE,CD2,CD53,MSRB1,RASGRP1,CLEC4E,PIK3AP1,GMPR,C1orf162,RASSF2,FCER1G,ADIPOR1,SASH3,PIK3R5,NFE2,EFHD2,ITGAL,LCP2,CD97,SYK,MPZL3,C6orf25,CPNE3,PIP4K2A,TMEM71,ITK,ARRB2,NCF2,VAMP8,SLC4A1,MIER1,NFIX,ACP5,TREML1,ALCAM,ATG16L2,TBX21,LEF1,CD37,JAK3,RNF149,SLA,ARHGAP25,PRF1,ZKSCAN1,HCST,IRF1,CD163,NCEH1,TPR,BCLAF1,LAT2,EFCAB14,NLRP12,IQGAP1,LCK,ARHGDIB,ARHGAP4,C1QC,GPR18,GUK1,DEF6,BOD1L1,CDC73,ITGAM,ARGLU1,CASP1,GPSM3,SIKE1,XPO6,SAMD3,EIF4G1,ATXN7L3B,BCL11A,MKRN1,S1PR5,FOLR2,GRAP2,IQGAP2,AIDA,NBEAL2,EHBP1,CCT8,FAM111A,GPR65,MIS18BP1,EGR2,RASAL3,GMFG,MS4A4A,PYCARD,PRAM1,CYTH1,FMNL1,SLCO2B1,MS4A1,C1QB,C3AR1,LIPA,HIST1H3H,SH2D1A,MS4A6A,LPXN,ZFR,PTGS1,GIMAP2,ITGB1,CTSB,KYNU,VASP,MRC1,KIAA1551,RHOG,PRKCB,OAZ1,R3HDM4,PDCD5,C19orf38,UFL1,MYO1G,ITSN2,RLF,FBP1,MS4A6E,IL6R,ARHGEF18,SLC15A3,BCAS1,KLF1,LY75,SPATA13,PTPRC,NPL,VLDLR,FAM73A,RAD23A,BCAT1,POU2AF1,AMD1,DMTN,GHR,CXCL16,ARPC1B,PSMB9,PHOSPHO1,EMILIN2,LRRFIP1,DICER1,TAPBP,MAP4,DNASE2B,SLC29A3,NLRC5,SH3BGRL3,AKNA,ACADM,CAP1,IFI16,FKBP8,LYST,STK38,KIAA1109,GPATCH8,KRAS,FKBP2,CTSD,FXYD5,TREM1,BAZ1A,LMAN1,NFAM1,DOCK10,INPP5D,DMD,BRD4,MAP3K1,TBC1D16,ARPC4,SH3KBP1,HNRNPUL2,MOB1A,FAM134C,STK4,UACA,ISG15,JMJD1C,ARHGEF1,WASL,OSBPL8,USO1,FUCA1,MBNL2,ITGB5,C1S,NQO1,SON,GPNMB,KLHDC1,CTDSPL2,PTPN7,RERGL,P2RX5,YME1L1,MYZAP,KRTAP10-11,IFNAR2,CREB3,HNRNPF,CTNNA1,DARC,SEC14L1,MASK*,PMVK,TBC1D23,KMT2C,KIAA0101,HTRA1,SLC24A3,UBL3,FLI1,LIMCH1,GRN,SAFB2,SLAMF7,CALD1,DENND4B,ITCH,LPHN2,SMC3,ACOX1,HM13,PDCD7,NPLOC4,PSMD1,DHDDS,CNN1,DLG5,ATXN1L,ATP6V0C,PDIA5,PCGF5,DNPEP,ASPH,CRTAP,TAGLN2,MAGI2,FAM129B,PSMD7,AGO2,STIP1,CD300E,SYNPO,ACTA2,GPC1,MIB1,TLN2,C11orf95,OAZ2,MAP4K4,UCHL1,CTSK,FAT1,LAMB2,FGF2,HNRNPAB,RBFOX2,ITIH5,CEP170B,SMAD2,UBE2D4,HSDL2,COQ5,USP33,JAM2,ENO1,C1orf198,RNF10,AHNAK2,PAN2,BACE1,KRTAP10-8,CBY1,NISCH,PHLDA1,SORL1,ECHDC2,EIF3L,KANK4,AARS,HSPB6,MTCH2,CDK5RAP3,CSNK1A1,CDC42BPB,SEC24C,CHP1,PALM,PRPF8,ACTC1,MFAP4,AMOT,ASRGL1,TMED10,ANKZF1,ST14,ZNF345,SKAP1,NLRP1,OSBP2,MLPH,ERGIC3,TCIRG1,NEK9,FGFR2,SPG7,DBN1,SLC16A7,OTUD7B,EZH1,TTC28,PTPRF,TMEM98,BMPR2,KIAA1671,LRPAP1,SERPINE1,NRIP3,PDE5A,SETD7,FBLN1,DSEL,FST,FAM171A1,CLK2,KRTAP6-1,GFPT2,GPR133,SRPRB,TET3,COL16A1,PLN,PMEPA1,SPTBN1,KRTAP10-2,ZNF410,NRBP2,SPOP,GLYATL1,RPS6KC1,CDH11,GZF1,TSPAN5,RCAN2,PPL,CHN2,SLC5A10,ADM2,MPDZ,TSN,PSAP,RAB24,WDR59,SH3PXD2A,ARL6IP4,TYRO3,VGLL3,MICALL2,WDR46,ERN1,QSER1,THOP1,NXPH4,HAP1,CNTN2,UNCX,KRTAP10-10,BPIFB3,SLC12A4,TMCC2,AQP2,KLK6,TBC1D10C,STK11IP,RUNDC3A,PNMT,EXTL3,RNF43,DRAXIN,SCAMP5,PLEKHN1,VSIG4,TREM2,TBXAS1,TLR8,XRN1,VNN3,TUBA4A,SP110,YPEL3,USP15,TAP1,ZNF428,TMEM206,UBE2C,SMOC1,VWA5A,ZRANB1,SLC34A1	ARHGAP9,PRKDC,CYTIP,C10orf118,SLC25A39,SLC25A37,CD48,CORO1A,RAC2,SELL,CD3D,FGR,FYB,SEMA4D,PF4,PLA2G7,LCP1,S100A8,CD53,PIK3AP1,IL7R,SLC4A1,PRF1,TYROBP,LST1,TREM2	0.101018209707211	0.00501968517263656	0.00992172147403945	-0.153624890898989	1.97708192873168e-05	4.77116664928245e-05	3570	1.2	2.66724092875066e-88	2.8920512356025e-86	3020	1.2	1.46595652384688e-54	9.89032001422027e-53	4394	1.11230121909363	3.23749955492198e-43	8.1908738739526e-41	5	M1
adipose	M6	GO_EXTRACELLULAR_SPACE	592	PLA2G7,ACP5,ALCAM,CD163,NCEH1,C1QC,FOLR2,EGR2,MS4A4A,SLCO2B1,C1QB,C3AR1,LIPA,CTSB,MRC1,FBP1,MS4A6E,SLC15A3,BCAT1,CXCL16,EMILIN2,DNASE2B,SLC29A3,CTSD,FUCA1,C1S,GPNMB,GRN,CTSK,PHLDA1,MFAP4,ST14,TMEM98,SERPINE1,NRIP3,COL16A1,CDH11,PSAP,VSIG4,TREM2,VWA5A	PLA2G7,ACP5,CD163,C1QC,MSR1,C3AR1,FPR3,VSIG4,TREM2	0.429008253636064	8.00536004972162e-36	1.50026377228116e-34	-0.416401927523391	1.94286970786354e-33	2.45773018044737e-32	472	1.9	7.78072871679274e-81	7.62009431747831e-79	478	2.2	4.32647723533188e-112	6.56759244323379e-110	451	1.34049279578027	1.46591832559974e-23	1.85438668188367e-21	6	M2
adipose	M449	GO_IMMUNE_SYSTEM_PROCESS	280	LAPTM5,DOCK2,AIF1,LCP1,CD53,PIK3AP1,C1orf162,FCER1G,SYK,VAMP8,HCST,ITGAM,IQGAP2,PYCARD,LPXN,KYNU,NPL,TBXAS1,TMEM206	LCP1,CD53,PIK3AP1,TYROBP	0.333986404910324	1.60936481427638e-21	1.08578479469847e-20	-0.384031188352958	2.73370605646198e-28	2.19564327709486e-27	254	2.2	9.07922943591696e-67	7.87558301926968e-65	244	2.4	1.80330457766999e-70	1.65904021145639e-68	200	1.25684468657257	2.71592352763368e-07	5.72607210409433e-06	7	M129
adipose	M106	GO_SMALL_MOLECULE_METABOLIC_PROCESS	327	ECHS1,PFKFB1,AACS,FASN,LDHD,AGPAT2,LGALS12,CHCHD10,ACACA,MESP1,CS,ACO2,DGAT1,GPI,GPT2,AIFM1,MTHFD1,C14orf180,MECR,SLC2A4,PDXK,PGM1,TTC36,TECR	ECHS1,ACACA,PDHA1	-0.317019774093065	1.94663989195841e-19	1.21604911769254e-18	0.386893360403198	1.00971570364284e-28	8.37567452529961e-28	274	2	1.84001067554976e-55	1.33006485975454e-53	252	2.1	8.75882622142738e-52	5.11380700158721e-50	269	1.44748534851141	5.73100499413881e-23	5.79977705406847e-21	8	M12
adipose	M4	GO_IMMUNE_SYSTEM_PROCESS	5197	FPR1,ARHGAP9,CXCR1,CYTIP,SLC25A39,CD48,RGS2,CXCR2,AMICA1,CORO1A,RAC2,NKG7,CSF3R,SELL,BIN2,CD3D,CST7,FGR,DCAF12,PTPN6,FYB,NRGN,PIK3CD,EVI2B,LYN,CMTM2,MYO1F,LAPTM5,FGD3,DOCK2,ACRBP,SEMA4D,HCK,BCL11B,SERPINA1,HBQ1,AHSP,FAM46C,MXD1,C16orf54,RBM38,FBXO7,AIF1,LCP1,FANCE,CD2,CD53,MSRB1,RASGRP1,CLEC4E,PIK3AP1,GMPR,C1orf162,RASSF2,FCER1G,ADIPOR1,SASH3,PIK3R5,NFE2,EFHD2,ITGAL,LCP2,CD97,SYK,MPZL3,C6orf25,PIP4K2A,TMEM71,ITK,ARRB2,NCF2,VAMP8,SLC4A1,TREML1,ATG16L2,TBX21,LEF1,CD37,JAK3,RNF149,SLA,ARHGAP25,PRF1,HCST,IRF1,LAT2,NLRP12,LCK,ARHGDIB,ARHGAP4,GPR18,GUK1,DEF6,ITGAM,CASP1,GPSM3,XPO6,SAMD3,BCL11A,MKRN1,S1PR5,GRAP2,IQGAP2,NBEAL2,CCT8,GPR65,RASAL3,GMFG,PYCARD,PRAM1,CYTH1,FMNL1,MS4A1,HIST1H3H,SH2D1A,LPXN,PTGS1,GIMAP2,KYNU,VASP,KIAA1551,RHOG,PRKCB,OAZ1,R3HDM4,PDCD5,C19orf38,MYO1G,IL6R,ARHGEF18,BCAS1,KLF1,LY75,PTPRC,NPL,VLDLR,POU2AF1,AMD1,DMTN,ARPC1B,PSMB9,PHOSPHO1,LRRFIP1,TAPBP,NLRC5,SH3BGRL3,AKNA,CAP1,FKBP8,LYST,STK38,FKBP2,FXYD5,TREM1,BAZ1A,NFAM1,DOCK10,INPP5D,BRD4,MAP3K1,ARPC4,HNRNPUL2,FAM134C,STK4,ISG15,JMJD1C,ARHGEF1,ITGB5,NQO1,PTPN7,RERGL,P2RX5,MYZAP,KRTAP10-11,IFNAR2,CREB3,HNRNPF,CTNNA1,DARC,SEC14L1,MASK*,PMVK,KIAA0101,HTRA1,SLC24A3,FLI1,LIMCH1,SLAMF7,CALD1,DENND4B,LPHN2,ACOX1,HM13,NPLOC4,PSMD1,DHDDS,CNN1,DLG5,ATXN1L,ATP6V0C,PDIA5,PCGF5,DNPEP,CRTAP,TAGLN2,FAM129B,PSMD7,STIP1,CD300E,SYNPO,ACTA2,GPC1,TLN2,C11orf95,OAZ2,MAP4K4,UCHL1,FAT1,LAMB2,HNRNPAB,RBFOX2,ITIH5,CEP170B,UBE2D4,COQ5,JAM2,ENO1,C1orf198,RNF10,AHNAK2,PAN2,BACE1,KRTAP10-8,CBY1,NISCH,SORL1,ECHDC2,KANK4,AARS,HSPB6,MTCH2,CDK5RAP3,CDC42BPB,SEC24C,CHP1,PALM,PRPF8,ACTC1,AMOT,ASRGL1,TMED10,ANKZF1,SKAP1,NLRP1,OSBP2,MLPH,ERGIC3,TCIRG1,NEK9,FGFR2,SPG7,DBN1,OTUD7B,EZH1,TTC28,PTPRF,KIAA1671,LRPAP1,PDE5A,SETD7,FBLN1,DSEL,FST,FAM171A1,CLK2,KRTAP6-1,GFPT2,GPR133,SRPRB,TET3,PLN,PMEPA1,SPTBN1,KRTAP10-2,ZNF410,NRBP2,SPOP,GLYATL1,RPS6KC1,GZF1,TSPAN5,RCAN2,PPL,CHN2,SLC5A10,ADM2,TSN,RAB24,WDR59,SH3PXD2A,ARL6IP4,TYRO3,VGLL3,MICALL2,WDR46,ERN1,THOP1,NXPH4,HAP1,CNTN2,UNCX,KRTAP10-10,BPIFB3,SLC12A4,TMCC2,AQP2,KLK6,TBC1D10C,STK11IP,RUNDC3A,PNMT,EXTL3,RNF43,DRAXIN,SCAMP5,PLEKHN1,TBXAS1,TLR8,VNN3,TUBA4A,SP110,YPEL3,USP15,TAP1,ZNF428,TMEM206,UBE2C,SMOC1,ZRANB1,SLC34A1	ARHGAP9,CYTIP,SLC25A39,SLC25A37,CD48,CORO1A,RAC2,FAM65B,SELL,CD3D,FGR,FYB,HBD,SEMA4D,PF4,LCP1,S100A8,CX3CR1,CD53,CYFIP2,IL7R,SLC4A1,PRF1,GPSM3,LST1,AQP9	0.100781341258714	0.00512365264677258	0.0100878141605717	-0.150726198560512	2.83912680531162e-05	6.62026803450543e-05	2658	1.2	4.46994277407004e-55	3.08426051410833e-53	2159	1.1	4.7121197329442e-20	7.94777528289921e-19	3215	1.08852375106083	1.78942056452647e-18	1.13180850706299e-16	9	M2
adipose	M30	KEGG_LYSOSOME	361	PLA2G7,ACP5,ALCAM,NCEH1,EGR2,CTSB,FBP1,MS4A6E,SLC15A3,BCAT1,CXCL16,EMILIN2,DNASE2B,SLC29A3,CTSD,GRN,PHLDA1,ST14,SERPINE1,NRIP3,TREM2	PLA2G7,ALCAM,MSR1,TREM2	0.422084513842446	1.2894795157748e-34	2.17492211660682e-33	-0.406221210328053	9.31594493519276e-32	1.0247539428712e-30	289	1.9	3.00762739234845e-50	1.66021032057635e-48	288	2.2	4.03096723503718e-65	3.30757203393862e-63	267	1.30140870870035	6.92445801559099e-12	2.06104456228767e-10	10	M6
