row	col	weight
PPBP	PF4	0.981208862888347
S100A9	S100A8	0.977855542546931
TUBB1	PF4	0.975964266366382
FPR1	SELL	0.969745733979651
SETD2	ZFR	0.967950074743442
FPR1	CXCR1	0.967834736412005
FPR1	CXCR2	0.967160180608957
ARHGAP9	LST1	0.966928481318474
CXCR1	CXCR2	0.966367706966693
PRKDC	ZFR	0.966163427996455
CYTIP	RASSF5	0.965592386362676
C10orf118	ESCO1	0.965023307014102
TUBB1	PPBP	0.964854839204583
SLC25A39	PCGF5	0.964798348499196
SLC25A37	SNCA	0.964505559513304
MNDA	AQP9	0.964401603777094
CD48	CORO1A	0.964049807986773
ESCO1	SETD2	0.963947487376224
RGS2	FPR1	0.96362710210211
CD48	CYTIP	0.963420459909105
CXCR2	SELL	0.963410136401738
AMICA1	ARHGAP9	0.963066300774493
RGS2	SELL	0.962997754753707
CORO1A	LST1	0.962323942479386
RAC2	CD53	0.962118983251556
PRKDC	SETD2	0.961615086509525
ESCO1	ZFR	0.961516101010582
NKG7	PRF1	0.961425410182866
FAM65B	SELL	0.961352318899267
ARHGAP21	ZFR	0.961275828442282
RGS2	CXCR2	0.960589484534134
TUBB1	RGS18	0.960508726356561
ITGB2	LCP1	0.960450680500759
CSF3R	CXCR1	0.960051353964321
C10orf118	ZFR	0.959853431468664
AMICA1	CSF3R	0.959823131262801
SELL	SERPINA1	0.959817292334724
BIN2	SEMA4D	0.95912332416459
RAC2	SASH3	0.958816242147089
FPR1	SORL1	0.958725044720163
SNCA	TRIM58	0.958714939701693
ARHGAP9	CORO1A	0.958646867734671
AMICA1	SERPINA1	0.958598317664753
CD3D	CD2	0.958550190840649
CST7	PRF1	0.958465657690134
SLC25A37	TRIM58	0.958380220047343
C10orf118	PRKDC	0.958362342401109
FGR	RAC2	0.958351052309373
CXCR2	TMEM154	0.958292163514749
FPR1	TMEM154	0.958063990209774
CDC27	SETD2	0.958050543700708
GZMB	PRF1	0.958010798712914
SLC25A39	HBQ1	0.957717074732748
CXCR1	SELL	0.957641926113087
SELL	SORL1	0.957279903769019
BAZ1B	SETD2	0.957118633994404
DCAF12	TSPAN5	0.956975588525616
PTPN6	SASH3	0.956784900593948
AMICA1	MYO1F	0.956761820485705
FPR1	SERPINA1	0.956710964165938
CORO1A	CYTIP	0.95656548430396
ESCO1	MAP4K5	0.956327921608597
CLEC7A	FYB	0.956139774819527
FYB	SLA	0.956031899003526
CDC27	ESCO1	0.95583441967926
AMICA1	SEMA4D	0.955794121738718
FPR1	CSF3R	0.9555748669883
BAZ1B	ZFR	0.955277247016063
ALAS2	HBD	0.955056483548391
CXCR1	SERPINA1	0.954858722030794
NRGN	ACRBP	0.954834981542709
SLC25A39	HBD	0.954751519751223
C10orf118	SETD2	0.954714638959276
PIK3CD	SEMA4D	0.95456070300795
CDC27	MAP4K5	0.954484666489954
CORO1A	MYO1F	0.954326547571416
DDX6	ESCO1	0.954324324863594
EVI2B	FYB	0.954126266106334
CD300A	SASH3	0.954124767627714
FGR	LST1	0.954103654506545
NRGN	C6orf25	0.953798386809047
CXCR1	TMEM154	0.953793690467027
SLC25A39	DCAF12	0.953612512979502
AMICA1	PIK3CD	0.953526928737432
BAZ1B	PRKDC	0.953502242029919
CSF3R	SERPINA1	0.95343794795289
BIN2	CYTIP	0.953303189137281
SLC25A39	TSPAN5	0.953263311978027
CXCR2	VNN2	0.953242843736693
CORO1A	SLA	0.953232619547258
CYTIP	MYO1F	0.952827126521734
LYN	PRKCB	0.95281316681694
FYB	PRKCB	0.952373127051498
CMTM2	MXD1	0.952277201036122
CD48	RASSF5	0.952179092358573
HBM	HBD	0.952159224733497
MYO1F	SLA	0.952151215922631
AMICA1	CYTIP	0.952117199433762
CORO1A	RASSF5	0.952097619979371
ARHGAP9	MYO1F	0.952087783558891
CDC27	PRRC2C	0.952046917523548
CD300A	RAC2	0.951507127953681
AMICA1	BIN2	0.951423584691089
LAPTM5	LCP1	0.95142046179183
CMTM2	VNN2	0.951395851776594
CSF3R	PIK3CD	0.95130995058152
FGD3	SEMA4D	0.951139942763542
ARHGAP9	CLEC7A	0.951038181562287
SLC25A39	FBXO7	0.950794879681412
DOCK2	CD53	0.950774228058659
CD48	LST1	0.950719906797866
ACRBP	RGS18	0.950638101543485
S100A9	MNDA	0.95059641343971
LTB	SELL	0.950486713289157
BIN2	MYO1F	0.950380548085458
HBD	SNCA	0.950209059780803
SLC25A39	SNCA	0.950159932035204
S100A9	SELL	0.94996560936792
LYN	SLA	0.949847040374489
CORO1A	PRKCB	0.949727239394116
EVI2B	LYN	0.949693618310241
MAP4K5	SETD2	0.949555129424596
SEMA4D	SERPINA1	0.949533835670657
CYTIP	SEMA4D	0.949471136391614
SLC25A39	TRIM58	0.94940315017318
RAC2	CORO1A	0.9492074251858
RBAK	ZFR	0.94908725465102
AMICA1	CXCR1	0.948986479680725
CSF3R	MMP25	0.948819565223006
CD48	ARHGAP9	0.948681915022643
FGR	CD300A	0.948539630227041
FPR1	FAM65B	0.948241622865794
CEP350	ESCO1	0.94815715646089
FYB	LYN	0.948063410332322
BIN2	PIK3CD	0.948051484122795
ARHGAP9	CYTIP	0.948040680463827
DDX6	ZFR	0.948019982470877
PF4	RGS18	0.947932409018252
FGR	ARHGAP9	0.947883571817286
HCK	LYN	0.947814560711842
ARHGAP9	FYB	0.947647823710837
SLC25A39	RBM38	0.947520759726058
C10orf118	MAP4K5	0.947515165537599
IQSEC1	SETD2	0.947493638130395
BCL11B	LEF1	0.947488317812711
LYN	RASSF2	0.947423031857997
ESCO1	RBAK	0.947376317203946
RGS2	VNN2	0.947341556587547
CORO1A	FYB	0.947319053756921
FGR	SASH3	0.947182751724505
SERPINA1	SORL1	0.947169895573302
SLC25A39	TESC	0.947102711660486
CRCP	ZFR	0.947065110600708
HBQ1	TSPAN5	0.947037962301431
S100A9	CXCR2	0.94695050522376
FGD3	PIK3CD	0.946946478699961
GZMB	CST7	0.946923239490996
FPR1	VNN2	0.9468149772573
CORO1A	LYN	0.946767670993459
CSF3R	SEMA4D	0.946551451839121
DCAF12	FBXO7	0.946503055833865
AHSP	GMPR	0.946429474342545
CEP350	ZFR	0.946249330989709
PROK2	VNN2	0.946248767736467
CYTIP	PLAC8	0.946169075439061
DOCK2	AIF1	0.946090301567005
ARHGAP9	HMHA1	0.94594078951407
HBD	TRIM58	0.945662676188414
RGS2	S100A9	0.94562346171558
RGS2	MNDA	0.945602753419819
FCN1	SERPINA1	0.945599662338644
CD48	CXCR4	0.945540213865845
FAM46C	SLC4A1	0.945524388220707
HBM	SLC25A37	0.94536960757877
ARHGAP9	SLA	0.945211080096978
CMTM2	PROK2	0.945187861198571
CST7	NKG7	0.945183165645594
CCR7	LEF1	0.945110773663589
ARHGAP21	SETD2	0.94508936100314
DHX9	ZFR	0.94497435030303
GZMA	PRF1	0.944930122530537
CD3D	NKG7	0.944893130758064
FPR2	MXD1	0.944783932947145
CD3D	BCL11B	0.944780834094017
CMTM2	TNFRSF10C	0.944631104782338
IQSEC1	ZFR	0.944499969846614
C10orf118	CEP350	0.944474780021941
MXD1	VNN2	0.944445663661345
GZMA	NKG7	0.944415026927636
ARHGAP21	ESCO1	0.944405141065438
FCN1	SELL	0.944333527711422
CPED1	SETD2	0.944307130880961
HBQ1	DCAF12	0.944282148402482
C16orf54	FAM65B	0.944279835394352
BIN2	FGD3	0.944264776639954
CRCP	PRKDC	0.944222621333805
CD3D	CD48	0.944071229109153
CD48	IKZF1	0.944055818178711
CMTM2	FPR2	0.943964849393678
PLA2G7	TREM2	0.943954827608111
RBM38	TSPAN5	0.943920937372891
CXCR1	MMP25	0.943684633725327
FBXO7	TSPAN5	0.943635613407125
CORO1A	HMHA1	0.943546907769439
CD48	PLAC8	0.943491290477288
ITGB2	LAPTM5	0.943380276600884
CMTM2	CLEC4E	0.943265804286541
CORO1A	SASH3	0.943124223061376
GZMA	CD3D	0.942955235795987
MNDA	SELL	0.942919000432247
ARHGAP21	RBAK	0.942759680592648
MDFIC	ZFR	0.942673520863304
RGS2	FAM65B	0.942471666728988
AIF1	TBXAS1	0.942313370797304
DDX6	ZKSCAN1	0.942221551399406
CPED1	ZFR	0.942175071793279
LCP1	PIK3AP1	0.942104655809349
CEP350	DDX6	0.942099475958735
DCAF12	FANCE	0.942072334172468
S100A8	SELL	0.941822749605205
HCK	RASSF2	0.941812142638222
S100A12	CMTM2	0.941734961289873
FANCE	TSPAN5	0.941603965089971
CST7	CD2	0.941457326824801
CD2	RASGRP1	0.941450860166331
AIF1	CD53	0.9414439497269
CD3D	RASGRP1	0.941382763827532
GZMA	CST7	0.941224772253319
S100A8	CXCR2	0.941218250500748
GZMA	GZMH	0.941200388952118
RAC2	LST1	0.941149367827775
SLC25A39	SLC4A1	0.941117034929311
LTB	SORL1	0.94102317993924
HBQ1	PCGF5	0.940931200489082
DCAF12	SESN3	0.940764181620627
FPR2	VNN2	0.940744071069372
EVI2B	PRKCB	0.94072938959912
ALAS2	SNCA	0.940705310484288
MDFIC	PRKDC	0.940520990270294
FPR1	LTB	0.940517627894092
BAZ1B	CPED1	0.940290912528824
CX3CR1	PRF1	0.940113937374727
CD53	LCP1	0.940101446648147
CLSTN1	SETD2	0.940091880777061
HEMGN	TSPAN5	0.94007072622449
CD3D	IL7R	0.940006889778843
SEMA4D	TBC1D10C	0.940003113114674
ACRBP	MAP3K7CL	0.939958289122189
FPR2	PROK2	0.939937312376256
CD3D	PLAC8	0.939823216865648
CYTIP	TAGAP	0.939714687403867
SLC25A39	AHSP	0.939705288770081
AHSP	SLC4A1	0.939621278501861
AMICA1	MMP25	0.939463068323291
MSRB1	ICAM3	0.939392778249031
CYTIP	IKZF1	0.939328803984256
DCAF12	PCGF5	0.939328123646508
CD3D	CST7	0.939145706238284
BCL11B	RASGRP1	0.939092703917588
HCK	SLA	0.938998056905939
CD3D	CYTIP	0.938954345692215
GZMH	CD8A	0.938868918418294
SLC25A39	GMPR	0.9386616948406
BIN2	TBC1D10C	0.938499014273641
RASGRP1	SLC38A1	0.938495221490177
HBD	SLC4A1	0.93834633436588
CRCP	DHX9	0.938345991827935
FGR	CORO1A	0.938328756513169
CST7	KLRD1	0.938297232360869
CEP350	ZKSCAN1	0.938228487255497
CXCR4	CYTIP	0.938194082311719
HBM	SNCA	0.938032439006684
CLEC4E	MXD1	0.938009626758955
RAP1GAP2	SEMA4D	0.937919937062075
CD53	THEMIS2	0.937864198710898
TESC	PCGF5	0.937825170986595
PIK3AP1	PLEK	0.937805345688475
CLSTN1	ZFR	0.937801500964812
HBD	SLC25A37	0.937783611058856
GMPR	SLC4A1	0.937726875620001
RAC2	PTPN6	0.937697218303611
GNLY	PRF1	0.93767401483737
DCAF12	SLC4A1	0.937563535601845
TESC	HBQ1	0.937501866923751
HCK	CORO1A	0.937491108748368
S100A12	VNN2	0.937459358742052
NKG7	CD2	0.937446202304001
GZMB	NKG7	0.937374523895998
C1orf162	CD53	0.937307835192761
BCL11B	CD2	0.937170532172902
GMPR	DCAF12	0.937117632457538
FYB	HMHA1	0.936971067577419
CD48	IL7R	0.936966185575699
ESCO1	ZKSCAN1	0.936920081525877
RASSF2	SLA	0.936834558234289
CXCR2	MXD1	0.936732989127829
GAPVD1	SETD2	0.936576360410095
GZMH	FCRL6	0.93647378752345
C10orf118	CRCP	0.936451519274901
LCP1	PLEK	0.936328978690681
CTSS	PIK3AP1	0.936146409329773
CD300A	CD53	0.9361059053717
FGD3	TBC1D10C	0.936001626953355
CDC27	LAMP2	0.935855441374311
LCP1	TYROBP	0.935779392519809
CDC27	USP10	0.935746313660894
DHX9	PRKDC	0.935692849123545
IKZF1	RASSF5	0.935541740105207
CPED1	CPNE3	0.935538343081042
SLC25A39	ADIPOR1	0.935279389444666
MAP3K7CL	RGS18	0.93499680255034
S100A12	PROK2	0.934994312901391
HBQ1	FANCE	0.934987095450027
CYFIP2	SLC38A1	0.934954251618363
ESCO1	MIER1	0.934946468904291
CMTM2	TREM1	0.934591175630938
GZMA	CX3CR1	0.934565372242996
AIF1	SYK	0.93442211679355
PVRIG	CD2	0.934367302592925
GMPR	FBXO7	0.93428121273518
ITGB2	TYROBP	0.934271313228911
FCER1G	TYROBP	0.934187617379477
CLEC7A	SLA	0.93417232771489
CA1	FAM46C	0.934168694112179
CD53	PIK3R5	0.934160448387274
SLC25A39	ALAS2	0.934130381687303
GAPVD1	ZFR	0.93392241342054
PIK3AP1	TYROBP	0.933914992748604
CA1	SLC4A1	0.933861734821851
DDX6	MIER1	0.933807503167281
SESN3	TSPAN5	0.933764857860321
CORO1A	PTPN6	0.933695539676397
CD3D	CD8A	0.933670992940254
BIN2	TAGAP	0.933661339099605
BCL11B	LCK	0.933191682641917
AHSP	HBD	0.933164742413318
ADIPOR1	PCGF5	0.933131049971194
HCK	SMAP2	0.933053090651007
IL2RB	PRF1	0.933011100610906
SASH3	SH3BP1	0.93300660664642
PIK3R5	SASH3	0.932760496314863
FGR	ITGAX	0.932708544999828
NFE2	FGD3	0.932468039234671
CXCR2	FPR2	0.932427604564981
NKG7	CX3CR1	0.932364496316537
SLC25A39	MYL4	0.932336885762075
EVI2B	LCP2	0.932274547752404
SLC25A39	R3HDM4	0.932257822178376
CD53	CTSS	0.932246142752331
ACRBP	C6orf25	0.932218308234185
IL7R	RASGRP1	0.932202156356014
DOCK2	TBXAS1	0.932089231603608
EFHD2	SASH3	0.932055691128766
C1orf162	LCP1	0.932042293645928
TUBB1	ACRBP	0.931817833976194
CMTM2	KCNJ15	0.931679031350954
CD3D	SLC38A1	0.93163880944413
ITGAL	PTPRC	0.931634365075165
CD53	SASH3	0.931563697413785
LCP2	LYN	0.931484265522564
CD97	SLA	0.931449018286328
NKG7	GZMH	0.931445742645161
RGS2	AQP9	0.931441673918841
RBM38	FBXO7	0.931334641362515
IL7R	SLC38A1	0.931316876862669
GZMB	KLRD1	0.931223811730529
TNFRSF10C	PROK2	0.931068378978279
AIF1	PIK3AP1	0.931052975438057
SYK	TBXAS1	0.931027476993633
CST7	PLAC8	0.930994570588539
EVI2B	TLR8	0.930979905530859
DOCK2	SYK	0.930813244815988
FFAR2	CSF3R	0.930777268179186
ATRX	ESCO1	0.930730557913759
MPZL3	MXD1	0.930683369030365
NFE2	BIN2	0.930675125885429
MYO1F	TAGAP	0.930605193865609
C6orf25	PTGS1	0.930498503596818
CMTM2	MPZL3	0.930491289752672
CLEC7A	TLR2	0.930381130016396
CPNE3	ZFR	0.930364211712363
PIP4K2A	TSPAN5	0.930113292722667
BIN2	RAP1GAP2	0.929986472053558
CD53	SYK	0.929903394011137
PLA2G7	ALCAM	0.929646199500185
ESCO1	LAMP2	0.929607457135202
HCK	DPEP2	0.929426016402875
TMEM71	MPZL3	0.929374317313174
HCK	TNFAIP8L2	0.929229904900202
LCP2	FYB	0.929174329364414
CD53	PIK3AP1	0.929079404600442
ITK	RASGRP1	0.928996044671125
CLEC4E	FPR2	0.928957854665049
CTSS	LCP1	0.928865868255851
CD8A	FCRL6	0.928835634471115
CYTIP	RAP1GAP2	0.928830804965277
IKZF1	ITGAL	0.928718904654567
AKAP11	ESCO1	0.928686406450227
DHX9	PAPOLA	0.92860103629284
CLEC4E	MPZL3	0.928458663216078
ESCO1	XRN1	0.928417786013547
AHSP	CA1	0.928207689431825
CST7	PVRIG	0.928151209229846
CDC27	RORA	0.928119205593084
RAC2	PIK3R5	0.92810307510868
ARRB2	CD53	0.927958546538994
NCF2	TLR8	0.927902381147054
VAMP8	TYROBP	0.927756439411258
AKAP11	SETD2	0.927680307555756
TMEM71	MXD1	0.927550499695295
KLRD1	PRF1	0.927545153209299
S100A9	AQP9	0.927536094015745
ADIPOR1	DCAF12	0.927272555401911
C1orf162	LAPTM5	0.927271467766853
NCF2	EVI2B	0.927263816209486
FBXO7	SESN3	0.927196321889419
SLC4A1	TRIM58	0.927148193714087
CD3D	GZMH	0.927064980079037
MIER1	XRN1	0.927054142554001
RAC2	EFHD2	0.926943922627011
NFIX	ZFR	0.926911626611258
CD97	MYO1F	0.926588441614605
KCNJ15	PROK2	0.926502088122811
NKG7	GNLY	0.926389395946917
DOCK2	1-Mar	0.92630491258782
FGD3	JAK3	0.926292940747432
ACP5	TREM2	0.926288003141566
MSRB1	CMTM2	0.926150949538548
DOCK2	THEMIS2	0.926138654904794
TREML1	C6orf25	0.926092477129843
RAC2	ITGAX	0.926081395199172
CST7	TBX21	0.926075417749976
S100P	CXCR1	0.925899124030205
ARRB2	PIK3R5	0.925754450529758
MYL4	TSPAN5	0.925685105861114
ALCAM	MSR1	0.9256845732471
AMICA1	ARHGAP25	0.925679732880396
LAMP2	MAP4K5	0.9256682233526
TNFRSF10C	FPR2	0.925634327141651
ITGB2	PIK3AP1	0.925480419390503
PAPOLA	ZFR	0.92540349262482
S100P	FPR1	0.92536184256354
ATG16L2	PIK3CD	0.925353902454848
DAPP1	RGS18	0.925229085792973
FBXO7	R3HDM4	0.925206189969327
ARRB2	THEMIS2	0.92519357170469
CD3D	CYFIP2	0.925190486440098
CSF3R	MBOAT7	0.925143833244339
IGSF6	CTSS	0.925085405071229
SASH3	SLC16A3	0.925083429795704
RNASET2	TBXAS1	0.925075309114016
TBX21	KLRD1	0.92503895716744
MYL4	HBQ1	0.924995610121398
LEF1	RASGRP1	0.924953298999128
TBX21	PRF1	0.924850880827042
CPNE3	SETD2	0.924788928677815
FYB	TLR2	0.924759415412536
ARRB2	HCLS1	0.924743604647572
TMEM71	CMTM2	0.924718203677535
FPR1	MXD1	0.92457709306201
DDX6	XRN1	0.924547500851794
CD37	PTPN6	0.924522635920661
CD2	EOMES	0.924465968722009
SETD2	USP10	0.924435370245493
CD48	RASGRP1	0.924337337883103
ITGB2	IFI30	0.924237952161644
JAK3	PIK3CD	0.924112626179593
RNF149	C16orf54	0.923976953217102
NFE2	PIK3CD	0.923931640781468
CD2	GPR171	0.92383913265649
DCAF12	PIP4K2A	0.923799234403655
CD2	CD48	0.92378228445462
ARRB2	SASH3	0.923771545487518
FFAR2	FPR1	0.923707069017086
ARHGAP9	CD97	0.923703242674077
HMHA1	INPP5D	0.923504686886895
RPS6KA1	SASH3	0.923503251606542
NKG7	FCRL6	0.923452315811837
BAZ1B	MDFIC	0.923384673997965
LYN	TNFSF13B	0.923291370745609
CDC40	DDX6	0.923139927505869
PRRC2C	SETD2	0.923093565426345
ARHGAP9	CXCR4	0.923067164507824
SLA	SMAP2	0.92304202558455
RPS6KA1	SLC16A3	0.922867835917847
ARHGAP25	MYO1F	0.922821152391241
RAC2	SH3BP1	0.922758990976832
CD3D	IKZF1	0.92262909443248
FFAR2	CXCR1	0.922590603796574
FGR	SLC16A3	0.922566782882041
KLRF1	PRF1	0.922469562065136
KLRB1	PLAC8	0.922386935154852
IFI30	LCP1	0.922316938865934
CD2	LCK	0.922301250028669
PRF1	RUNX3	0.922200578869819
ATRX	SETD2	0.92216334455083
DAPP1	PRKCB	0.922158720431589
ZKSCAN1	ZNF480	0.92212183406202
HCST	C1orf162	0.922120245328776
IRF1	SECTM1	0.922087666052526
PPBP	RGS18	0.921966105568692
NKG7	RUNX3	0.921831411071656
BCL11B	TMC8	0.921733422005846
MBTD1	SETD2	0.921647807302701
ARHGAP21	CLSTN1	0.9215185375702
CD163	MS4A4A	0.921506522875887
MPZL3	TREM1	0.92148479656784
MBOAT7	PIK3CD	0.92134825603344
AMICA1	MBOAT7	0.92117410943932
LEF1	TCF7	0.921108051567579
TNFRSF10C	KCNJ15	0.921013391479312
DDX6	PUS7L	0.920957171564703
NRGN	RGS18	0.920825198768256
RASGRP1	SKAP1	0.920807874993383
NRGN	TUBB1	0.920736486249962
AMICA1	ALOX5	0.920698024979531
FCER1G	PIK3AP1	0.920640292234302
CD48	ITGAL	0.920562070001209
DOCK2	PIK3AP1	0.920530377618521
C10orf118	MIS18BP1	0.920500831960492
NCEH1	TREM2	0.920252036077174
PTPN6	SH3BP1	0.920236632033514
BCL11B	TCF7	0.920214398709244
ITK	LCK	0.920175777884771
CD2	PLAC8	0.920152704789321
CD163	VSIG4	0.920123421289647
TPR	ZKSCAN1	0.920066050008463
RASSF2	SMAP2	0.91995883609345
ARHGAP21	NFIX	0.919953687196823
CD300A	SLC16A3	0.91995118760514
ESCO1	PUS7L	0.919948302363996
BCLAF1	ESCO1	0.919941782149615
CLEC7A	DOCK5	0.919820250625069
ACRBP	C2orf88	0.919776039832041
ITK	SKAP1	0.919772159167467
FCER1G	LCP1	0.919740775701265
CD3D	ITGAL	0.919698289625729
C10orf118	IQGAP1	0.919592244317654
CLEC4E	TREM1	0.919426190343379
DDX6	ZNF480	0.919205623574971
AMICA1	CASP1	0.919159300172991
ITGB2	C1orf162	0.919053075825152
C1orf162	LPXN	0.919033352162142
AMICA1	ATG16L2	0.919021456710532
ARHGAP9	TLR2	0.918948569121898
